id,onstreet_spots,offstreet_spots
-10266792#0,16,NA
-10266792#1,36,NA
-10266792#2,32,NA
-10266792#3,9,NA
-10266792#4,2,NA
-1026692357#0,18,NA
-1026692357#1,5,NA
-1026692358#0,4,NA
-1026692358#1,11,NA
-1026692358#2,12,NA
-10271153,12,NA
-10271167,10,NA
-10271170#0,20,NA
-10271170#1,16,NA
-10271173#0,16,NA
-10271173#1,4,NA
-10271173#2,9,NA
-10271175,11,NA
-10272054#0,20,NA
-10272054#1,6,NA
-10272252,32,NA
-10272258#0,16,NA
-10272258#1,3,NA
-10272494#2,9,NA
-1027272080#0,14,NA
-1027272080#1,19,NA
-1027369495,22,NA
-1027369591#0,17,NA
-1027369591#1,17,NA
-10274921,12,NA
-10274922,35,NA
-1028143971#0,30,NA
-1028143971#1,6,NA
-1028143972,27,NA
-1028166891,32,NA
-1028322718,6,NA
-1028397106#0,14,NA
-1028514997,28,NA
-1029206129#0,50,NA
-1029292835,15,NA
-1029292836,14,NA
-1029410234#0,13,NA
-1029410234#1,31,NA
-102947002,18,NA
-102947004,9,NA
-1029476202,12,NA
-103012039#0,17,NA
-103012039#1,12,NA
-103012039#2,8,NA
-103012041,13,NA
-103012044#0,21,NA
-103012044#1,16,NA
-103012045,39,NA
-103027592,21,NA
-1030283821,24,NA
-10303261,34,NA
-10303376#0,17,NA
-10303507,22,220
-1030353363#0,24,NA
-10303731,13,NA
-10303737#0,7,NA
-10303737#1,7,NA
-10303802#0,13,NA
-10303802#1,3,NA
-10303825,29,NA
-103051811,12,NA
-1030700873,5,54
-10307191#0,15,NA
-10307191#1,47,NA
-10307238#0,37,12
-10307238#1,23,NA
-10307242,53,NA
-10307320,33,NA
-10307356#0,22,NA
-10307356#1,36,199
-10307356#2,33,NA
-1030874586,13,NA
-103096147#0,5,NA
-103096147#1,18,NA
-103096147#2,35,38
-103136604#0,19,NA
-103136604#1,8,NA
-103136607#0,19,NA
-103136607#1,18,NA
-103136613,36,NA
-103141581#0,24,NA
-103141581#1,29,NA
-103141581#2,39,NA
-103141583#0,30,NA
-103141583#1,20,NA
-103141585#0,20,NA
-103141585#1,30,NA
-103141585#2,32,NA
-103141585#3,34,NA
-103141587#0,25,NA
-103141587#1,39,NA
-103141587#2,29,NA
-103141587#3,25,NA
-1031620951,7,NA
-1031838775,41,NA
-1031838776,44,17
-1031950569,1,NA
-1032351188,25,NA
-1032351189,9,NA
-1032351190,12,10
-1032351195,7,NA
-103258836,55,NA
-1032929971,32,NA
-1032929972,37,NA
-103293007#0,26,NA
-103293007#1,14,NA
-1032933943,20,NA
-1032944854,13,NA
-1032944855,18,NA
-1032944856,18,NA
-1032944857,14,NA
-1032944858,18,NA
-1032944859,21,NA
-1032944860#0,16,NA
-1032944862,16,NA
-1032944863#0,38,NA
-103295134#0,22,NA
-103295134#3,24,NA
-1033686284,4,NA
-1033686297,1,NA
-1033701644,22,44
-1033705328,8,NA
-1033705330,1,NA
-1033753814,30,NA
-103385574,22,NA
-103405406#0,15,NA
-103405406#1,11,NA
-103405406#2,12,NA
-103405406#5,20,NA
-103405409#0,35,NA
-103405409#1,40,NA
-103405409#2,22,NA
-103405409#3,24,NA
-103405409#4,36,NA
-103405410,46,NA
-103405413#0,35,NA
-103405413#1,20,NA
-103405413#2,22,NA
-103405415#0,47,NA
-103405415#1,13,NA
-103405415#2,19,NA
-103405417#0,43,NA
-103405417#1,12,NA
-103405419,19,NA
-103405421#0,29,NA
-103405421#3,39,NA
-103405422#0,24,NA
-103405422#1,16,NA
-103405422#2,14,NA
-103405422#3,16,NA
-103405422#4,19,NA
-103406017#0,46,20
-103406017#1,32,NA
-103406018#0,19,NA
-103406018#1,15,NA
-103406018#2,14,NA
-103406018#3,17,NA
-103406018#4,7,NA
-103406018#5,12,NA
-1034179020,33,NA
-1034411954,24,NA
-103453514#0,53,35
-103453514#1,8,NA
-103453514#2,11,NA
-103453514#3,8,NA
-103453514#4,11,NA
-103453514#5,12,NA
-103453524#1,44,52
-1034738839#3,6,NA
-1034811168,35,20
-103499522#0,21,NA
-103499522#1,27,NA
-103499522#2,45,NA
-103499523,21,NA
-103499527#0,10,NA
-103499527#1,31,NA
-103499527#2,4,NA
-103499527#3,20,NA
-103500282,23,NA
-103502694#0,8,NA
-103502694#1,16,NA
-103502696#0,33,NA
-103502696#1,19,NA
-103502696#2,17,NA
-103502696#3,18,NA
-103502696#4,31,NA
-103502697#0,36,33
-103502697#1,17,NA
-103502697#2,37,28
-103502697#3,49,21
-1035033626,34,NA
-10355068,40,NA
-1035591892,24,NA
-1035909461,31,NA
-1035909479#2,8,NA
-1035909479#5,24,NA
-1035909479#6,15,NA
-1035946274,6,NA
-10360074,21,NA
-10360185,16,NA
-10360286#0,10,NA
-10360372,2,NA
-1036123062,31,NA
-1036179689,9,NA
-1036179690,9,NA
-1036246983,1,NA
-103625182#0,19,NA
-103625182#1,6,NA
-103625182#2,6,NA
-1036269933,7,NA
-1036289997,2,NA
-1036290005,1,NA
-1036462010,0,NA
-1036479135,3,NA
-1036479136,71,NA
-1036479144,5,NA
-1036530810#0,21,NA
-1036530810#1,49,NA
