id,offstreet_spots
-281631711,51
-28196824#0,5
-281982072#0,33
-282034016#2,63
-282034016#3,44
-282047688#0,20
-282047688#1,31
-28215034#8,10
-28231957#0,6
-28241306#2,42
-28241308#5,30
-28251487,5
-28252934,143
-283006417#2,17
-283311193,89
-283317448,143
-28362838#0,70
-28413555#0,163
-28429400,82
-284494942#2,14
-28497262#2,27
-28502721,18
-28540906#2,51
-28581615#0,12
-286198247#0,12
-28654915#1,79
-28654915#2,55
-28658317#0,250
-28671480#2,132
-28671480#4,8
-28698789#2,7
-28776536,152
-28789621,28
-28793517#0,2
-28809221,70
-28829858,5
-28961510#0,12
-28983637#0,14
-28985826#0,4
-28985826#2,100
-290075136,19
-29024753,39
-29110373,13
-29110374,22
-29201098#0,57
-29201098#2,118
-29212660#2,79
-292215372,10
-292429063#1,55
-29247084#1,40
-29277662#1,31
-29311546#1,11
-29311550,59
-293138567,40
-293319599#3,36
-293348724#1,8
-29392107#0,19
-29421665#2,6
-29435079#3,85
-295155695,136
-29545778,15
-29546408,14
-29560616#2,72
-29565645#1,38
-29574494#2,109
-29606360#3,5
-29606360#5,21
-29699810#0,40
-297060624#0,21
-298830253#0,94
-30082799#0,40
-30082800#7,108
-30084960#2,58
-30084960#5,93
-30084960#6,69
-30095095,23
-30100893,9
-30140818,9
-30189015#0,27
-30193692,52
-30218983#2,19
-30218983#4,28
-30264780#11,13
-30264780#6,200
-30264780#8,48
-303591199,6
-304338418,10
-304377519#0,36
-30475153#1,5
-30602887,46
-30610206,7
-306713742,110
-30674136,421
-30699235#5,37
-30699235#6,35
-30705441,98
-30706022,2
-30706065,249
-30711864#7,15
-307811931#1,4
-307811931#2,12
-30788795#1,15
-30813769#6,4
-30818727#2,72
-30825103,367
-30829918,93
-308319504,8
-308319508,32
-308319510,143
-308319513,200
-308319515#3,2
-308319520,2
-30899535#0,35
-30899535#2,9
-309207211#0,11
-309522104#1,10
-30958679#1,75
-30958680#0,130
-30958680#1,263
-309998157,97
-31003576#1,12
-31012190#1,78
-310306837#0,240
-31065038,73
-310773558,6
-31091036#4,5
-31098742#2,16
-31099402#1,27
-31103020#0,2
-31128994#4,38
-312249607,26
-312541896,88
-313302634#1,50
-31345607#3,171
-31345607#6,123
-313917246#2,6
-313917248#5,23
-314415495#0,160
-314415495#2,112
-315214529#0,26
-31521759#0,21
-31521784#0,27
-31521872,12
-31523316,22
-31525839,157
-31565696,44
-31579040#2,1
-31579599,56
-31579602#1,23
-31587688#7,21
-31621015,168
-31748765,32
-31758906#0,38
-317683531#1,138
-31774351#2,18
-317863880#1,248
-317948766#2,71
-318138851#2,9
-318210378,12
-318434639#3,282
-318434642#1,88
-318859188,47
-31970737#1,2
-32008925#1,48
-32034956,11
-320414942#1,20
-320414942#2,28
-320823303#0,147
-320823311,121
-321744771,98
-32196976,69
-32196978,241
-32197350#0,22
-32197350#13,8
-32214701,61
-32235553#1,18
-32235554,84
-32359106,25
-32442264,51
-32458157,24
-32499438,4
-325000951#1,85
-325017298,55
-32555844,26
-32619003,55
-328064917#2,28
-32812862#1,22
-328253843,18
-32844422#0,13
-328465413#0,20
-328465413#1,17
-328638901#3,12
-328776776,20
-328790102,27
-32879634#8,4
-32882577#0,9
-32882577#3,20
-32909625,15
-32911678#3,3
-32936167#3,11
-32936167#4,5
-32936807#4,59
-32938436#1,57
-32975880#0,15
-32976592,7
-32977011#2,6
-32986101,15
-330119107#0,9
-33055382#0,9
-33066933#2,80
-33078338#1,11
-33079043,82
-33079951#2,5
-33079951#3,19
-33080870#0,12
-330929805,133
-330951967,59
-33114556#5,7
-33114922#0,87
-33114922#1,30
-33115443,58
-33116304,19
-331318343#0,82
-331703881#0,13
-33227987#2,108
-33234937,60
-33234959,126
-332561057#3,3
-333118502#0,257
-333607500#6,9
-333607511#0,11
-333607511#1,11
-333626093,19
-333626108#0,21
-333626108#1,22
-333626108#2,27
-333626112#0,9
-33389695,44
-334308450,140
-334355605#0,86
-334355605#1,49
-33455347#0,15
-33455347#1,23
-33455347#2,16
-33465131,40
-335239868,1058
-335396339#0,15
-335396339#2,6
-337967751#3,13
-338078853#0,15
-338078853#1,12
-338078854#0,5
-338316875#2,24
-338412122,5
-338468810#2,13
-338546087#1,28
-338690995,15
-338690998,36
-33882034,5
-33889835,8
-33914131,29
-33917993,83
-33969913,159
-34024122,17
-34037276,56
-34074958#2,10
-34074971,9
-34104008#0,10
-34122859#0,33
-34122859#3,14
-341962450,57
-34220874#1,228
-342368257,18
-342876755,16
-343614201#2,8
-34376235#1,23
-343846287,41
-344005563#0,8
-344072934#0,89
-34419140#7,52
-344680962#0,18
-34488583#1,14
-34551134,44
-34561372,14
-34571334,356
-34580796#2,95
-34580796#6,19
-346234392#2,36
-346861805#2,12
-347457860#3,8
-347457860#9,95
-34822331#0,8
-34822333#7,46
-34822334#0,32
-34822335#0,36
-348979676#0,3
-35149993#0,10
-35149993#1,3
-35149993#2,16
-354645907#1,25
-354907570#3,39
-35554229,16
-35559688,114
-35572404#9,10
-355736433,10
-35576598#1,16
-35576657#1,22
-35577030#3,7
-356359316#1,43
-35813430#3,41
-36125241#1,13
-36194412#0,19
-362325193,9
-362479315#9,31
-363784099#0,7
-365020881,9
-365829349,5
-367256836#2,52
-367277636#0,41
-367355785#0,18
-36738527#4,4
-36738532,2
-36932429#0,115
-36969670#1,21
-36987811,5
-36993379#0,11
-370022541,78
-37013601#0,10
-37036476,106
-370405123#2,112
-370584750,172
-370590094#1,16
-370608055#1,81
-37077530#0,6
-37137795,1710
-37142124,33
-371851634,57
-37282764,15
-37291757#3,62
-37292253,64
-37292254#0,35
-372950038#0,106
-373625574,8
-373625576,6
-37426244,22
-374344534,9
-37555146#1,67
-375711163,139
-37609022#1,33
-37638503#3,88
-376730202#1,13
-37736292,9
-377388186#2,102
-37739363,465
-37764670#2,219
-37774725,20
-37835088#1,109
-37837031#0,16
-37894323,35
-37906672#3,120
-37906673#3,25
-37910700,58
-37953230#1,567
-379986573#2,101
-38082396#1,8
-38082619#1,43
-38145762#1,21
-381569873#2,14
-38159999,24
-38168755#2,16
-381777622,77
-38227892#0,8
-38227892#2,3
-38279333#1,53
-38279334#0,70
-38344693#2,10
-384222461,41
-384416315,7
-38507369,42
-38523780,150
-385969254#1,300
-386592868#3,207
-386822748,19
-387205287,49
-387478999,5
-38763871#3,13
-387892378,73
-388002757,22
-38886346,14
-38914937#2,41
-38915289#0,10
-38915289#1,12
-38915290,4
-39010716#0,10
-391407797,80
-39166056,22
-39255623#1,11
-392739719,9
-39499458,11
-39599592,58
-39656558#0,161
-39775787,141
-39839436#4,33
-39981589,28
-40020707,95
-400740363#0,12
-400740387#0,7
-40155528,23
-40155546#2,34
-40191598#1,6
-40267306#0,17
-403736227#1,19
-403736236,11
-403736238,21
-403752974,162
-404275281,28
-4045655,32
-404647410#3,9
-40520559#0,10
-40520575#1,21
-40563015,29
-406201948#1,340
-4067941#0,13
-4067955,24
-4068030,20
-4068083,37
-4071972#0,40
-407946692#3,440
-40816690#2,317
-40816891#0,10
-4083461,21
-408709154#1,64
-40904926,16
-409862043#1,39
-41136125,17
-412127616,33
-41340056#1,25
-41350236#0,92
-41350279#1,8
-41350307#0,19
-41350307#1,35
-41413736#0,21
-415858612#2,45
-416514035#2,6
-416657137#0,2
-416657137#1,318
-419014887,45
-41977264,26
-419818728,134
-419961788,331
-420483060#1,6
-42157877,22
-42157884,87
-42157902#2,41
-421641771,16
-42245336#1,15
-422923701#2,280
-422992069#2,66
-42346818,9
-423931289,21
-42507101#0,8
-425489133,22
-42599027,23
-42689068#0,7
-42689935#2,52
-42695668#0,20
-42732333,9
-42732336#3,62
-42772459,33
-42815781,19
-42825959#1,8
-428720064,63
-42879426#0,84
-42990009,34
-42990135,17
-43076508#1,14
-43076508#5,217
-43087099#0,9
-431551297#2,27
-431573845#2,18
-4316780,12
-432116461,174
-432205766#2,29
-432205826#2,15
-432427281#1,49
-433933813,20
-43402009,55
-43403697,5
-435358686,47
-435498412#1,17
-4357822#2,4
-4357822#3,91
-4359674#2,47
-4359674#5,12
-4361344#0,13
-436445301#0,27
-4364486#2,23
-43660343,21
-436624329,35
-436633166,23
-4368691,9
-4370509#2,23
-4370509#5,20
-4370509#7,53
-437054303#2,55
-437360302,27
-4375670#1,84
-4377141#3,50
-4377781#2,47
-4378528#2,3
-4378528#6,28
-43796417,144
-4381554#1,9
-4385195#0,29
-4385197,13
-4385198,35
-43870724#0,111
-4387782#2,24
-4387785,67
-4389571#2,26
-439025652,102
-439032718,31
-4391587,25
-439333258#0,48
-4395479#3,259
-4395599#2,63
-4395631,57
-4395632#0,12
-43961041#0,8
-4396235#2,120
-4396420#5,9
-4396421#3,103
-4396528,190
-4396816#5,34
-4396910,234
-4399488,55
-4400157#4,67
-4400974,243
-440342095,150
-440383167,6
-4407114,59
-440866906,12
-4410152,36
-4410412#0,35
-4410412#1,12
-4410415,63
-4410424#2,8
-4410459,20
-4410585,15
-44155098,100
-44166804,12
-4425425,37
-4434001#0,93
-4434408#4,10
-4436793#1,12
-4436793#4,29
-4436877#4,10
-4436882#3,21
-4436882#6,10
-4437114#1,47
-4437114#2,27
-4437135,8
-4437136#0,26
-4437138#4,110
-4437183#2,64
-4437185,7
-4437187#2,12
-4437192,9
-4439234#2,88
-4439333#3,195
-4439618#2,17
-4441937#1,84
-4441941#0,17
-4442071#1,41
-4442078#1,87
-4442087#2,161
-4446444#3,4
-4448879#2,6
-4449164#0,86
-4449164#1,8
-4449360,71
-44603339,67
-4463151#1,4
-4463421,12
-4471990,129
-4474846#1,23
-4474890#1,46
-4478051,64
-447815502,13
-448025886#1,26
-44810506#0,19
-4484065,51
-4484272#1,13
-4486587,61
-4486588,4
-4486590,32
-4486632,118
-4486679,17
-4486680,14
-4486692#3,4
-4489210#5,293
-4490163#2,46
-4490168#3,13
-4490369#2,27
-4490390#4,57
-4490444#0,39
-4491645#3,35
-4491995,22
-4492011#2,95
-4492015#2,8
-4492371#8,14
-4492375,77
-4492376,53
-4494993,32
-4494994#2,12
-4494995,2
-4494996,9
-4495005,16
-4495006,47
-4495200#1,6
-4495206#0,9
-4498149#2,50
-4500152,8
-4500153,34
-4500154,21
-4500156#2,51
-4500194,10
-4500195,11
-450221287#1,17
-4515851#0,22
-4515870,11
-4515872#0,11
-451621867#0,255
-4525482,10
-4525751#0,6
-4525753,8
-4531417#0,38
-4531424,66
-4531490#0,39
-4531625#0,27
-4531634#0,35
-4531634#2,10
-4531677#2,16
-4531696,9
-4531816#2,110
-4534558#0,14
-4535204#0,19
-4535205#2,7
-4535206#0,51
-4535354#2,7
-4535457#2,10
-4535458#2,13
-4535463,11
-45359278,31
-4536910#1,24
-4536945#8,33
-4536962#5,20
-4536962#7,61
-4537027#0,18
-4537083#0,27
-4537262,26
-4537263,50
-4537628#1,17
-4539461#0,29
-4539466,31
-4540033,95
-4540279,72
-4540284#0,8
-4540284#1,7
-4540285#0,16
-4540297#1,155
-4543405#1,44
-4543407,11
-4546470#2,72
-4546470#5,7
-455097481,116
-4553255#0,23
-4553259,978
-4555097#3,13
-4555101,13
-4555237#6,167
-4555279#3,51
-4556841,128
-4556844,76
-455757964,18
-456120243,11
-457373526,16
-4575437#0,12
-4575437#1,7
-4575464#1,10
-4575464#2,14
-4579697#1,69
-4579699,7
-4579720#2,96
-4579851#2,157
-4579877#2,157
-4581765#0,16
-4581767#1,21
-4581767#2,27
-4581768,26
-4581778#3,2
-4581779#0,31
-4581779#1,6
-4581779#3,5
-4581780#2,8
-4581849#1,18
-4581851#0,88
-4581880#3,9
-4581884,53
-4581887,11
-4581967#1,12
-4582011,21
-4582013#1,8
-4583113#2,12
-4583363,11
-4583366#0,31
-4583366#1,7
-4583380,7
-4583385#1,10
-4583385#2,19
-4583401,14
-4585081#0,26
-4585082#2,10
-4585092#0,5
-4586177,124
-4586180,49
-4586182,25
-4586185,33
-4586336,8
-4588079#1,295
-4588870#2,43
-4589065,116
-4589067#2,219
-458915613,55
-458915614,25
-45904914#1,9
-4592757#0,4
-4594026#0,29
-4594026#3,20
-4596963#2,12
-4596985,56
-4597000,8
-4597029,23
-4597032#2,6
-4597254,2
-4597354#2,125
-4597379#3,182
-4597403,7
-4597404#0,18
-4600069,105
-4603313,12
-4603338#2,29
-4603348#1,21
-4603390#1,21
-4603408,101
-4603411#0,4
-4603456#2,90
-4603529#1,12
-4603585,17
-46036312,142
-4605115#1,20
-4605115#2,18
-4605118#0,12
-4605118#1,43
-4605118#2,23
-4605300#0,83
-4606797,230
-4606798,12
-4607070#2,82
-4609186#3,20
-4609187#5,24
-4609195,18
-4609226,14
-46096956#1,59
-4610038#0,7
-4610039,6
-4610042#0,20
-4610047#2,19
-4610047#6,43
-4610047#9,45
-4610130#2,199
-4610131#1,17
-4611714#1,25
-4611860#1,35
-4611867#1,12
-4611869#1,7
-4611885,32
-4611907#4,5
-4612693,25
-4612695#0,6
-4612695#3,41
-4612696#7,38
-4612752#0,60
-4612752#1,57
-4612756#1,5
-4612876,32
-461317444#2,66
-461317445#5,114
-4613299#1,15
-46138135,67
-4614659,7
-4615004#4,25
-4615005#1,12
-4615212#4,57
-4615744,4
-4615781,15
-4615989#2,260
-4616178#4,14
-4616249,62
-4616567,13
-4617308#1,50
-4617319#0,17
-4617319#1,8
-4617322,25
-4617323#1,19
-4618707#0,5
-4618708#1,6
-4618775,129
-4618777#2,24
-4618779#0,18
-4618814#1,18
-4618816#0,17
-4618816#1,4
-461910864,273
-461913502#0,2
-461913502#1,4
-4619358#1,16
-4619374,14
-462058951,103
-4623432#1,6
-4623435#0,124
-4623435#1,7
-462430824,48
-4631710#1,2
-4637773,7
-4637774#1,11
-4637775#0,47
-4637775#1,55
-4637810#0,55
-4637814,16
-4637815#2,6
-4637937#0,33
-4637937#1,26
-4637937#2,20
-4637941,13
-4637943,33
-4637944,23
-46491323,8
-46509265#1,22
-46510898,52
-465830151,37
-465860959,75
-466333680,9
-4663337#4,54
-466425810,26
-4674383,22
-4674694#2,78
-4674694#3,42
-4674699#1,15
-4674699#2,9
-4674701,56
-4674702,12
-4674816#0,28
-4675068#0,3
-4675148,21
-4675215,24
-4675216#1,33
-4675216#2,10
-4675234#3,27
-4675235#1,65
-4675239,24
-4677871#0,37
-4678195,67
-4678199#4,20
-4678199#6,81
-4678204#1,26
-4678318,73
-46829142,6
-4684847#0,108
-4684925#2,48
-4684954#1,12
-4684959,9
-4685626,117
-4685633#0,247
-4685797#0,13
-4685800#0,105
-4685874#0,52
-4685967,115
-4686033#0,18
-4686083,65
-4686109#0,13
-4686462,21
-4686464#1,5
-4686469,9
-4686476#1,16
-4686489,6
-4686490,60
-4687159,26
-4687163,18
-4687303,190
-4687337#2,22
-4689036#2,12
-4689179#0,23
-4689654#1,19
-4693531#0,29
-4693533#1,5
-4693534,19
-4699584#1,6
-4699695#1,14
-4699695#3,15
-469999015,22
-4706348,13
-4706740,10
-4710462#3,10
-471623741#2,42
-4716382,12
-4719082#1,8
-472210036,86
-47267054,44
-47293251#3,37
-4729702,10
-47329046,41
-4733799#2,20
-4733799#3,20
-4734055#2,18
-4734057#1,7
-4740663#0,16
-4752450#4,10
-475519856,16
-475629656,42
-4756339,12
-47586922#2,36
-47586922#4,16
-4763465,51
-4764643,4
-4764683,74
-4764693,15
-4764800#1,3
-4764815#0,67
-4764860#0,8
-4764860#3,8
-4764872#0,17
-4764937,8
-4764940,4
-4764941#2,7
-4764950#0,3
-4764953#0,10
-4764953#1,12
-4765050,28
-4765057,12
-4765357,27
-4765880,9
-4765927#2,66
-4765928#3,58
-4765958#1,20
-4765965,16
-4766079#0,17
-4766087#2,90
-4770321,152
-477491287,21
-477583389,59
-4776148,200
-4776156,26
-4776633#1,4
-4776777,12
-4777033,11
-4777046,38
-4777055#1,11
-4777055#2,7
-4777056#2,79
-4777073,8
-4777111#2,17
-4777117,4
-4777119,46
-4777270#2,58
-4777290,140
-4777305,26
-4777312,5
-4782545#1,125
-478274645#1,13
-478274645#5,13
-4783336#1,187
-4783339#1,196
-4783339#2,22
-4783341,56
-4783342,11
-4783372,24
-4783453#0,58
-4787341#1,28
-4787966,3
-4787967#0,14
-4787967#1,8
-4787970,7
-478836286#0,9
-4788378#1,81
-4788384,32
-4788391#4,31
-4788391#9,124
-4788401,175
-4788410#0,113
-4788414,19
-4788425#0,61
-4788437#0,80
-4788544#1,34
-4788544#2,18
-4788557,102
-4788726#1,17
-4788739#0,3
-4791961,21
-4791965,21
-4792044,44
-4792052,16
-4792053#1,8
-4792054#1,255
-4792072,25
-4792074#2,152
-4792075#2,20
-4792075#3,26
-4792075#5,26
-4792094#1,6
-4792096,26
-4792101#0,26
-4792141#6,10
-4792204,53
-4792246,32
-4792256,21
-4792257#3,19
-4792279,7
-4792284,37
-4792288#0,18
-4792292#1,16
-4796503#4,36
-4796774,101
-4796799,40
-47973244#1,6
-4797951#5,20
-4797954#0,38
-4797962#1,24
-4801736,9
-4801743,61
-4802331#0,72
-4802337,34
-4802344#0,23
-4802344#1,8
-4802408#10,21
-4802408#11,6
-4802408#5,7
-4802408#9,4
-4802549,6
-4802586#0,7
-4802586#1,3
-4802586#2,4
-4802588#0,173
-4802740,24
-4802791#0,25
-4802809#2,151
-4802814,143
-4802824,38
-4802860#0,14
-4802860#2,11
-4804136#2,341
-4804151#3,10
-4804160,51
-4804196,8
-4804482,84
-4804584,9
-4804655#0,3
-4804857#0,3
-4805086,24
-4805434,70
-480722136#2,17
-4810810#0,32
-4810830,17
-481373508,33
-48230567#3,10
-4827291,94
-48273127,25
-4827473#0,45
-4827476#0,31
-4827480#0,4
-4827498#2,1
-4828031#2,117
-4829099#0,47
-4829110#4,9
-4829291#2,78
-483022582#0,7
-48371933,117
-48374823,39
-48406291,12
-4849535#0,1
-485157176,38
-485197148,136
-485711925#1,84
-486418992,149
-4864208,5
-486536470,5
-4871838#1,3
-4871839#1,18
-48743035#1,44
-48743035#6,8
-4881942#2,22
-488351330,7
-48848041#0,577
-48849006,25
-4887457,11
-4887458,4
-4887461#2,31
-48907690,23
-4895109,44
-48956629,157
-4898689#2,241
-49037934,50
-4906395#0,9
-49072463,99
-49163434#4,77
-491636233,12
-49181335#2,18
-49184342#1,16
-4920787,46
-492643593#0,10
-493504227,20
-494694419,16
-495037156#0,76
-495037156#1,60
-495949631,5
-496662788,93
-496931766,166
-49707947#3,92
-4978510#1,25
-4978512#3,59
-4978667#1,64
-4978668#0,6
-4978670,25
-498032674#6,115
-4999758#0,13
-4999762#0,3
-5000127#6,39
-5000127#7,20
-5000165#1,52
-5000177#0,65
-5000181#2,3
-5000363#10,196
-5000504#2,12
-5000572#2,14
-5000768#1,21
-5003462#0,25
-5011319#0,21
-50118308,36
-50160222,107
-5021370,18
-5025937#5,16
-503096340,11
-5037124#1,37
-5037124#2,29
-50434233,75
-50434240#1,37
-5046521#0,82
-5046984#8,43
-5046985#0,8
-5046985#1,20
-5047012,24
-50481674#0,127
-5075951#3,22
-50830991,139
-508518283,15
-508614985#3,13
-5089136#0,84
-5089136#1,50
-5089136#2,71
-5089136#4,36
-5089143,24
-5095433#7,121
-5095583,6
-5095621#11,26
-5095621#2,15
-5095621#5,24
-5095628,16
-5095719,12
-5096141,45
-5096381#2,8
-5096537#0,431
-5096538,35
-5096994#1,3
-5108258#1,28
-5108258#3,31
-5108266#3,176
-5108271#1,785
-5110655,15
-5110663#2,6
-5110667,3
-511352260,38
-5116190,55
-5116191,25
-5117265#0,26
-5117272,30
-5117274,48
-5117633#0,51
-511790628,11
-51218398,140
-5124050,20
-51316705#2,19
-51416823,22
-51423079#0,19
-51570733,21
-515846204,95
-516179491,12
-517170155#0,10
-51863695,20
-518889336,27
-51897615,15
-51897628,44
-519412817,4
-5199719,14
-520760973#1,25
-52104495,54
-52219082#2,56
-52219082#3,43
-52276053,21
-522816508#2,34
-522816509#2,200
-52513361#4,22
-525374656#0,27
-527161303,108
-52719509,33
-52877222,23
-52986134,6
-53064630,194
-53087792,18
-531180926#4,15
-53163726,3
-53357051,16
-53357053#2,25
-53357055,4
-53357056,14
-53542202#1,68
-53574781,103
-53590597#1,26
-536087455,116
-536326239#3,100
-5363316#2,21
-5364044#1,136
-5364954,22
-537457994,214
-538602078#2,9
-538770749#2,46
-540264517,35
-54048878#0,312
-542101123,51
-542983663,20
-543531628,49
-54440179#1,12
-546271344,12
-54672676,11
-54735838,20
-54844576,6
-54892584#2,5
-549424067#1,22
-550128881,54
-550428743,255
-550913970,4
-551258171#1,72
-5545233#1,38
-560339753,21
-561112584,14
-561232825,26
-561463459,14
-56201022#5,326
-56299639,8
-563341815,90
-563494116#2,19
-567597383#0,4
-567597383#1,9
-568748837,22
-576096703,6
-57743596,34
-5786177#0,12
-5786177#3,13
-5786178,8
-578917008,5
-5824336#0,55
-584015467#1,54
-584584290,102
-58534542,141
-58604703#0,4
-58604703#1,3
-58604705,3
-58645817,4
-58700251#2,32
-587687970,4
-587687976,56
-589643562#1,14
-589643562#2,15
-589694463,6
-58980579,40
-590695766,39
-59104200#1,3
-59108146,13
-59109760#1,3
-59207905#0,10
-593476356#6,8
-593501282,28
-593504922#0,76
-593615225#0,32
-59392595#2,197
-59582702#0,26
-595906891,82
-59636540#2,15
-596595674,3
-597889482#3,5
-598579366,3
-599452434#0,13
-6010538#1,10
-6014500#0,39
-60219337#0,12
-60261933#0,4
-603349899,87
-604036520,53
-604036521#0,16
-604036521#1,17
-604058358#0,61
-604058358#3,14
-605022051#1,14
-6058980#0,425
-6060511#1,38
-6062403,64
-6062524#1,110
-6062524#3,290
-6062545,52
-607059677,310
-6073951,29
-607803353#2,12
-60825549#1,12
-60826006#2,5
-60911745#0,14
-60917432#2,12
-60982253#2,76
-610561103#1,3
-610561103#2,3
-610561103#4,46
-610848017,72
-61271551,263
-612748460#1,11
-6139041,100
-6140048#0,46
-6141285,9
-6145494,70
-614705995#2,20
-615403573#0,74
-616267620#1,50
-6177756#3,151
-618056543#0,163
-6181240#3,4
-6183487#3,35
-6196952,3
-619760319,22
-6199043,11
-6199048,51
-620099120,10
-620610855,14
-62114953,17
-622087824,97
-62240975#2,14
-62312775#5,23
-62312775#8,6
-62363402,72
-623949508,7
-6247951,24
-626336925#0,120
-627608830,55
-627841672,12
-627841674,17
-628078311,16
-628222562,5
-628801266,50
-628808812,16
-628862196,21
-628906295,7
-630312673,31
-630315639,63
-630384597,2
-630842192,75
-63124377#3,6
-634415974,4
-636549244,8
-637592833#2,308
-638236411#4,19
-638236411#8,18
-638236411#9,108
-640466944#2,35
-641677281#0,6
-64455479,64
-64455490#0,26
-64772908,27
-648493467#11,16
-648493467#12,32
-648493467#13,24
-648493467#3,6
-650365503,13
-65425837,3
-65426521,17
-655368180,176
-65538633,16
-65706693#2,36
-657255429#2,42
-657333283,63
-659122809#0,31
-66071383#2,70
-66071383#4,13
-660945466,17
-66218888#3,59
-662898872#1,29
-66514425,64
-669052265#1,47
-669433184,150
-670062913,9
-671301953#2,144
-671403219,8
-673529518#0,321
-67406876#0,55
-674133614,41
-674150393,56
-67553868#2,9
-677435912#3,7
-679018417#0,52
-679285267,12
-679517441,390
-68339346#0,7
-683461672#2,27
-683770240,48
-683972874,81
-684189902,4
-68455990,42
-68455992,22
-686166392,6
-68711081#1,38
-688106255,13
-688181267,52
-689406332#2,233
-690708061#1,10
-690708061#2,8
-691544984#2,59
-693195982,5
-693273453,9
-693273454#2,24
-69554067,158
-696734566#0,85
-70415298#1,19
-704271135#2,22
-707977282,2
-708132722#2,9
-71089566,6
-712355888#1,14
-71282503,29
-71527202,102
-71527205,9
-71595980,45
-71596043,256
-71596046#1,21
-71746025,258
-718428121#2,70
-718428126#1,30
-718428129#0,19
-71858116,253
-718809953,146
-71960536,203
-720747084,13
-721729572,150
-721899549,8
-722013115,11
-723007528#3,15
-723757291#0,56
-72442767,49
-725874405,119
-727189420,3
-727709524#0,13
-728132451,154
-729961128,20
-730191117,19
-73057253,23
-73057254#0,20
-73057254#4,11
-732197508,11
-73682384#0,32
-73682399,23
-741106138,248
-744233528#1,18
-744464193,4
-746625193,250
-750020981#2,26
-75066614,8
-751353892,6
-751450815#0,60
-753600444#2,69
-7545433,165
-755946170,52
-75909822#0,8
-759414118,50
-759505899#1,9
-76035216,15
-7606110,17
-7607327,550
-760803014#2,323
-761338628#0,28
-76236116#0,41
-762566715,8
-762951890#2,16
-763475708#1,34
-764003855,15
-7702745#2,126
-7702838,52
-7703443#1,140
-7704559#0,41
-7706080#0,41
-7706224#0,82
-7739794#3,53
-775069623,24
-775625717,2
-778654454,11
-78391568#0,100
-784391565,82
-785006330,15
-785567931#0,23
-785567931#1,89
-785567931#5,719
-785567931#6,14
-785567938,55
-790242202,5
-791027230,25
-7913573,12
-7917219,33
-793161547,6
-793444702,231
-79386019,19
-79426218#2,9
-794782645#2,10
-795574342,17
-79650605,20
-79701272#0,37
-797787879,134
-797787880#0,4
-797792804#0,14
-7989962,14
-799202208#1,2
-7997674,34
-8007326#0,145
-8007327,108
-8008819#5,15
-8014720#4,68
-8014742,26
-802021414,23
-8023382#1,21
-8023538#2,29
-80261810#1,44
-80366517#2,19
-80377020#4,22
-8048597#1,71
-8048606#1,216
-8048737#2,7
-8049678,19
-806123795,30
-806162013,15
-806822590,89
-806903762,20
-807140901,15
-807305562,49
-8074410#1,113
-807826743#0,19
-807826743#1,5
-807826744#0,42
-807826744#2,18
-8080758,82
-808254847#2,5
-8084121,25
-80852553,81
-810343933,3
-8113456#0,86
-8113456#1,116
-8113954,99
-814007277,27
-81414482,59
-81414503#1,200
-81414529#1,18
-81414536#1,5
-814580987,19
-814837809,43
-814837888,12
-814840749#0,13
-814840750#1,29
-814842407#0,9
-815074932,34
-8150977,31
-81535329#0,11
-815558865#1,165
-815559895#6,79
-815559896,64
-815565992,94
-815566011#0,12
-816123581,135
-816236471,10
-816236480,15
-816236485#0,35
-816978351,3
-816978370,6
-816978372,4
-816978378#0,6
-8170379#2,10
-817288930,3
-817288932,12
-817288935,14
-817288944#2,9
-817288958,27
-819029012#2,5
-820474701#2,4
-821100848#0,24
-822674838,300
-824274173#0,30
-82456682#3,149
-824574378,12
-824819925#2,34
-824921529#2,28
-827928527#0,72
-827930694#0,16
-828031456#1,87
-832662826#2,7
-833602340,20
-833602349,13
-833648782,8
-833648783#0,6
-834775952,23
-836354428#0,2
-836498461,170
-836498506,7
-83674803#0,13
-83674803#1,39
-836874709,17
-837147987#0,4
-837200670,5
-837200675,439
-837200678,275
-837376157,11
-837376159,52
-837376160#3,93
-837433796#2,63
-838573083,7
-838809350,19
-838809376,195
-838809377,70
-838809404,57
-839957128,232
-840593692,37
-840875326,17
-840977508,18
-842378643#1,9
-844527462,13
-844527463,5
-844730334#0,71
-845151956#2,55
-845426425#0,27
-845476765#1,34
-845476767,5
-845934549,11
-84793968#3,35
-848132796,5
-849528478#1,63
-849528487#2,77
-849540330,12
-849583680,3
-84960606,82
-851003530,20
-851251671,37
-85127867#0,10
-851436055,5
-851436061,89
-851506421,37
-851506423#0,26
-851552629,4
-851610741,13
-851610758,80
-851979949#0,43
-851979949#1,60
-852118701,56
-852130988,143
-852423324,73
-852787071#0,18
-854964293,6
-856152388#2,42
-856298443,25
-85637556#1,7
-856907670,17
-856945414,40
-85786065#6,11
-858527788#0,1
-85900650#0,123
-85900652#2,14
-85900654,13
-860151161#2,5
-860638033,22
-860638046#2,8
-861068543,4
-86144416#0,441
-86144416#1,17
-862146124#3,14
-862863118,41
-863019363#2,21
-863325968,19
-863348547,35
-863348548,10
-8657069,6
-86571257#13,51
-865872228#0,60
-865872228#2,6
-865933762,12
-86693557#0,2
-86693557#1,8
-867850613#2,13
-869080709,28
-873150441,19
-873593127,14
-874119207,20
