id,onstreet_spots,offstreet_spots
-1000268036,14,NA
-1000365264,53,NA
-1000383790,1,NA
-1000422822,43,NA
-1000719326,39,NA
-1000835689,23,NA
-1001141591,20,NA
-1001425698#0,12,NA
-1001425698#1,7,NA
-1001425698#2,16,NA
-1001425698#3,23,NA
-1001425698#4,17,NA
-1002238518#2,8,NA
-1002247008,3,NA
-1002249742,2,NA
-1002263686,12,NA
-1002399795,31,NA
-1002517093,47,NA
-100280204#0,16,NA
-100280204#1,5,NA
-1002828337,42,7
-1002878124,2,NA
-1003079755,16,NA
-1003154452#2,4,NA
-10039819,34,NA
-100405260,15,NA
-100405511#0,10,NA
-100405511#1,28,NA
-1004687931,18,NA
-1004987077,29,NA
-1005049896,3,NA
-1005128760#0,17,NA
-1005195273,9,NA
-1006033769,6,NA
-1006745914#2,6,NA
-1006784427,11,59
-1006784432,1,NA
-1006839432#0,55,NA
-1006839432#1,40,NA
-1007431590#0,13,NA
-1007431595,2,NA
-10081218,75,NA
-1008241161,5,NA
-1008241162,5,NA
-1008241164,13,NA
-100832885#0,65,NA
-100832885#1,18,NA
-100832885#2,19,NA
-100832885#3,32,NA
-100832885#4,30,NA
-100832885#5,42,NA
-1008634747,21,NA
-1008634748,26,NA
-1008741313,14,NA
-1008835856,112,NA
-1008836419#0,20,NA
-1008836419#1,9,NA
-1008836420,16,NA
-1008965590,16,NA
-1009068369,7,NA
-1009116415,30,5
-1009118077,13,NA
-1009125108,4,NA
-1009125109,31,NA
-1009139341#0,5,NA
-1009145096,12,NA
-1009152567#0,9,NA
-1009152567#1,17,NA
-1009152567#2,11,NA
-1009152567#3,19,7
-1009171355,67,NA
-1009276214#0,15,NA
-1009276214#1,15,NA
-1009276214#2,14,NA
-1009278480,39,NA
-1009279082#0,16,NA
-1009279082#1,14,NA
-1009279082#2,8,NA
-1009280160,9,NA
-1009306087,21,NA
-1009306088#0,4,NA
-1009306088#1,4,NA
-1009311750,7,NA
-1009654442#0,17,NA
-1009654442#1,7,NA
-10098785#2,24,NA
-10098785#5,31,NA
-10098785#8,31,NA
-10099393#2,25,NA
-1010060782,20,NA
-1010110055,4,NA
-1010110058,5,NA
-1010110067,6,NA
-1010466595,20,NA
-1010466599,27,NA
-1010466602,36,NA
-1010468669#2,30,NA
-1011559441,22,NA
-1011831389,31,NA
-1012346274#0,34,NA
-1012346275,25,NA
-1012346278,60,NA
-10123608#0,49,240
-10123608#1,7,NA
-10123662,30,NA
-1012800873,24,NA
-1012836951,47,NA
-101290091,12,NA
-101290092,50,NA
-101290094#0,18,NA
-101290094#1,12,NA
-101290094#2,16,NA
-101290094#3,18,NA
-101290094#4,31,NA
-101290094#5,35,NA
-101290096#0,17,NA
-101290096#1,35,NA
-101290099,40,NA
-101290100#0,29,NA
-101290100#1,29,NA
-1013331249,5,NA
-1013331265,16,NA
-1013331275,17,NA
-1013364993,14,NA
-1013365034,26,NA
-101345892#0,16,NA
-101345892#1,32,NA
-101345893,56,NA
-101345894,27,NA
-1013489665,4,NA
-1013626075,12,NA
-1013726165,16,NA
-1014041202#0,20,NA
-1014338714,131,NA
-1014378045#2,96,NA
-1014546349#2,33,NA
-1015973517,6,NA
-1015973523,26,NA
-1015973550,16,NA
-1016033493#0,11,NA
-1016033493#1,24,NA
-1016177463,28,NA
-101702340#0,7,NA
-101702340#1,28,NA
-101702340#2,22,NA
-1017079159,3,NA
-1017170786,59,NA
-1017359721,50,NA
-1017579518#0,32,NA
-1017581473,49,NA
-1017581474,22,NA
-1017778152,19,NA
-1017778153#0,13,NA
-1017778153#1,12,NA
-1017793581,16,NA
-1017793692#0,18,NA
-1017802634,16,NA
-1017821052,34,NA
-1018192460#0,60,NA
-1018192460#1,5,NA
-1018280467#0,25,NA
-1018436536,21,NA
-1018450741,35,NA
-1018634121#0,15,NA
-1018634121#1,9,NA
-1018634121#2,7,NA
-1018891534,22,NA
-1018926819,7,NA
-1019088068,9,NA
-1019088069#0,5,NA
-1019712330#0,16,NA
-1019726737,20,NA
-1020162840,15,NA
-1020326834,45,NA
-1020468799,44,NA
-1020468803,18,NA
-1020500893,30,NA
-1020756737,15,NA
-1020819843,30,NA
-1020819844,10,NA
-10210930#0,8,NA
-1021414693#0,37,NA
-1021414693#3,21,NA
-1021471059#0,23,NA
-1021560888,20,NA
-1021560897,24,NA
-1021599627#0,45,NA
-1021599627#1,41,NA
-1021876134,24,NA
-102224859,10,NA
-102224863,9,NA
-1022323966,20,NA
-1022425095,7,NA
-1022434818,14,NA
-1022636474,11,NA
-1023136510,54,NA
-1023136511,19,NA
-1023614910,38,NA
-1023933911,6,NA
-1024032958,23,NA
-1024034686#0,55,NA
-1024034688,27,NA
-1024035086,30,NA
-1024040653#0,47,NA
-1024040654,30,NA
-1024040656#2,37,NA
-1024043830,70,4
-1024483197#0,22,NA
