pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---home_54000.0	211	42	13	10	1	5	0	1	1	0	0	0	0
car interaction---home_54600.0	220	41	11	3	4	0	2	0	0	1	0	0	1
car interaction---home_55200.0	226	33	17	9	5	2	0	0	1	0	0	0	0
car interaction---home_55800.0	186	44	11	4	2	1	1	1	0	0	0	0	0
car interaction---home_56400.0	238	49	20	1	1	0	0	0	0	1	0	0	0
car interaction---home_57000.0	217	41	12	5	1	1	0	0	0	0	0	0	0
car interaction---home_57600.0	223	34	21	4	2	3	0	0	0	0	0	0	0
car interaction---home_58200.0	233	39	13	3	2	0	1	0	0	0	0	0	0
car interaction---home_58800.0	234	36	20	6	3	0	1	0	0	1	1	1	0
car interaction---home_59400.0	237	34	14	7	1	2	0	0	0	1	0	0	0
car interaction---home_600.0	314	51	19	4	5	2	2	0	1	0	0	0	0
car interaction---home_6000.0	139	31	5	3	3	0	2	0	0	0	0	0	1
car interaction---home_60000.0	269	27	6	2	4	0	3	0	1	1	0	0	0
car interaction---home_60600.0	252	45	14	4	3	2	2	1	1	0	0	0	0
car interaction---home_61200.0	238	39	16	3	4	1	0	0	0	0	0	0	0
car interaction---home_61800.0	242	37	8	4	4	0	0	0	0	0	0	0	0
car interaction---home_62400.0	194	38	7	3	2	0	0	0	0	0	0	0	0
car interaction---home_63000.0	211	30	5	4	4	0	0	0	0	0	0	0	0
car interaction---home_63600.0	185	39	10	1	2	2	0	4	0	0	0	0	0
car interaction---home_64200.0	198	34	4	5	1	0	0	0	0	0	0	0	0
car interaction---home_64800.0	201	28	12	3	1	1	2	0	0	0	0	0	0
car interaction---home_65400.0	158	24	5	5	1	0	0	0	1	0	0	0	0
car interaction---home_6600.0	134	27	6	1	1	0	1	0	0	0	0	0	0
car interaction---home_66000.0	202	26	3	4	1	0	0	0	0	0	0	0	0
car interaction---home_66600.0	150	18	6	2	2	0	0	2	0	0	0	0	0
car interaction---home_67200.0	151	19	7	2	2	1	1	2	0	0	0	0	0
car interaction---home_67800.0	154	26	8	0	0	1	0	0	0	0	0	0	0
car interaction---home_68400.0	156	13	5	2	2	1	2	0	0	0	0	0	0
car interaction---home_69000.0	133	19	8	4	1	2	1	0	1	0	0	0	0
car interaction---home_69600.0	118	22	3	1	2	1	0	0	0	0	0	0	0
car interaction---home_70200.0	117	24	3	7	5	1	1	0	0	0	0	0	0
car interaction---home_70800.0	90	18	3	4	2	1	0	0	0	0	0	0	0
car interaction---home_71400.0	120	11	7	4	2	0	1	0	0	0	0	0	0
car interaction---home_7200.0	112	16	10	2	1	0	1	0	0	0	0	0	0
car interaction---home_72000.0	115	22	6	3	0	0	1	0	1	0	0	0	0
car interaction---home_72600.0	126	25	10	3	1	1	0	0	1	0	0	0	0
car interaction---home_73200.0	103	23	6	5	1	0	1	0	0	0	0	0	0
car interaction---home_73800.0	101	19	7	1	2	1	1	0	0	0	0	0	0
car interaction---home_74400.0	112	17	2	0	0	1	1	0	0	0	0	0	0
car interaction---home_75000.0	99	23	4	1	3	0	0	0	0	0	0	0	0
car interaction---home_75600.0	111	14	5	2	0	1	1	0	0	0	0	0	0
car interaction---home_76200.0	95	19	6	1	0	0	0	0	1	0	0	0	0
car interaction---home_76800.0	115	14	5	1	0	0	0	0	0	0	0	0	0
car interaction---home_77400.0	97	15	5	1	2	0	0	0	0	0	0	0	0
car interaction---home_7800.0	132	25	5	3	1	0	0	0	1	0	0	1	0
car interaction---home_78000.0	106	13	4	4	1	0	1	0	0	0	0	0	0
car interaction---home_78600.0	119	20	3	2	2	1	0	0	0	0	0	0	0
car interaction---home_79200.0	107	20	4	1	1	0	0	0	0	0	0	0	0
car interaction---home_79800.0	131	20	4	2	1	0	0	0	0	0	0	0	0
car interaction---home_80400.0	100	14	5	2	0	0	0	0	0	0	0	0	0
car interaction---home_81000.0	89	15	4	0	0	0	0	0	0	0	1	0	0
car interaction---home_81600.0	92	24	3	0	0	1	0	0	1	0	0	0	0
car interaction---home_82200.0	99	16	9	2	0	0	2	0	0	0	0	0	0
car interaction---home_82800.0	107	13	6	3	2	2	0	0	0	0	0	0	0
car interaction---home_83400.0	110	15	6	4	1	1	0	1	0	0	0	0	0
car interaction---home_8400.0	106	17	7	6	0	3	0	1	1	0	0	0	0
car interaction---home_84000.0	111	20	7	6	1	0	1	0	0	1	0	0	0
car interaction---home_84600.0	106	21	3	1	1	0	1	0	0	0	0	0	0
car interaction---home_85200.0	108	20	7	4	0	1	1	0	0	0	0	0	0
