ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	3796.6794113765427	
1	3973.582595587078	
2	4048.4132890249634	
3	4062.080176624442	
4	4087.604354834091	
5	4085.5263893889064	
6	4108.132998723911	
7	4130.413953465615	
8	4133.953002399744	
9	4146.0344024277665	
10	4141.877853316919	
11	4142.265070384124	
12	4125.278695880222	
13	4105.88709257125	
14	4091.0182679354007	
15	4102.555211250818	
16	4092.9518022096718	
17	4067.455975629212	
18	4029.680783017282	
19	4027.6310917459073	
20	4025.8253579228904	
21	4006.7159050256373	
22	3989.2901801889907	
23	3978.9711081599744	
24	3965.1645979592877	
25	3953.373038070504	
26	3973.213139634926	
27	3963.4507053091756	
28	3941.6233469004696	
29	3941.0036072782455	
30	3915.951896059183	
31	3921.7904833756206	
32	3934.9626749670497	
33	3891.5486850475927	
34	3929.012329168554	
35	3913.9249688647633	
36	3901.5035194255315	
37	3897.1983016209942	
38	3895.758224926639	
39	3876.5851137205655	
40	3881.4423242289918	
41	3895.4569902600792	
42	3887.9119464740347	
43	3889.8736021996906	
44	3904.427086357508	
45	3864.4818792659553	
46	3869.8495660504286	
47	3856.7497551817582	
48	3864.1436468650195	
49	3862.001495745177	
50	3885.589771561036	
51	3871.2111676823597	
52	3871.4307643373327	
53	3875.017532890853	
54	3863.4858103997585	
55	3874.5535216213457	
56	3857.795914964177	
57	3850.462586286579	
58	3866.8352203671016	
59	3848.5811570662545	
60	3868.286732498816	
61	3868.2089834991734	
62	3872.7968549558454	
63	3866.092745802556	
64	3856.2573087171663	
65	3852.804296010798	
66	3860.8075844544023	
67	3868.567558281783	
68	3858.8386187455294	
69	3861.348280144897	
70	3878.652987480569	
71	3859.9570018774384	
72	3866.9116586484006	
73	3861.112789996542	
74	3874.238658508145	
75	3870.6073158522	
76	3886.351253643344	
77	3847.744279202078	
78	3858.0878275517885	
79	3856.418929094621	
80	3848.9822815867224	
81	3856.7159574938582	
82	3850.9254751441094	
83	3848.7649051996023	
84	3861.9456712332235	
85	3839.4058430906557	
86	3854.123118106361	
87	3861.0758506851507	
88	3861.1051767470017	
89	3844.801460768901	
90	3856.30802944356	
91	3610.2489322364386	
92	3612.476417816519	
93	3613.8011396618126	
94	3615.043782638877	
95	3616.8765037381845	
96	3618.893863253755	
97	3620.1430810373326	
98	3621.3413250907047	
99	3621.6557313149237	
100	3622.5956010694276	
