ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
41	108.52003518455479	107.05618402556469	113.23997910950362	115.66769453750341
42	108.7164492563534	107.36266059690595	113.33840411275726	115.67231488459964
43	108.62474379458332	107.32769454197661	113.36964624664685	115.67775161863646
44	108.37957378155707	107.20362114993439	113.38471984870829	115.68371099770984
45	108.98679823620722	107.82460373098496	113.52850143421215	115.68883720384956
46	109.0271035429639	107.9592575571603	113.57964097230446	115.69437005149793
47	109.07641202511614	108.04274650421182	113.62434659034965	115.69974258456226
48	108.68891675281557	107.70605227707367	113.59597145603688	115.70512964111379
49	108.79161055790075	107.91356662872592	113.65252343813073	115.70920275938023
50	108.68874764996211	107.84483300689668	113.66406461967252	115.71317336304995
51	108.79344975177868	107.96723643528775	113.71015301088006	115.71663328155097
52	108.7233903143483	107.91787386035246	113.72291340985761	115.72099856016543
53	109.16949699922857	108.40467682316178	113.82463188324442	115.72513567615907
54	108.79368736350968	108.06459475834392	113.784642400414	115.73013218736477
55	108.41251509435669	107.6894945965625	113.73885676246516	115.73309732657637
56	108.80771842890965	108.11212455816715	113.82374957986436	115.73751403745354
57	109.22309179870119	108.5800837328681	113.91651286538587	115.74034467820577
58	109.05831319984459	108.43158390676587	113.9084150290556	115.74411365629513
59	109.21012413336653	108.60956140185762	113.95263232615349	115.74863434464541
60	109.22130131612916	108.6279995354918	113.97107776978514	115.75242133500656
61	108.87496724340413	108.30451979513686	113.92879004652151	115.7586530615069
62	108.8855736510579	108.31995765891254	113.94290429960289	115.75989880114122
63	109.26542777108514	108.70867259760018	114.01809771641811	115.76397167846149
64	109.16610626147194	108.60721868559504	114.01229300894308	115.76686942895722
65	109.15778924459707	108.6177381332977	114.02693541258176	115.77175049300672
66	108.98591087910782	108.47422192963694	114.01473209619553	115.77535138086957
67	108.97014067278997	108.47586762595546	114.02600327727212	115.77994870356312
68	108.97215781245913	108.48394578344853	114.03600222747288	115.78122514710131
69	109.21668662867395	108.7335210337455	114.08751678220814	115.78480252179689
70	109.36624842802345	108.89572038512445	114.12255996798527	115.78777696389203
71	109.04766220690513	108.60778210481719	114.08078000335223	115.79118001749718
72	108.92593806869273	108.48461111262579	114.07115142927596	115.79467243929012
73	109.31066879701602	108.87019880874621	114.14343296091282	115.7959394198919
74	108.99632566679658	108.55579758088098	114.1010202959248	115.8001269678903
75	108.68985933560121	108.27347888932262	114.06085199715818	115.80248732903479
76	109.09286277833414	108.66405759259666	114.13355558772452	115.8049557853515
77	109.36695645350471	108.95634112891895	114.18873152078626	115.80750948712745
78	109.0120895594117	108.60236275145937	114.13664271107692	115.81013907237717
79	109.4164280001543	109.01434733015529	114.2125958614654	115.81349610032089
80	109.1436206417748	108.75511444062502	114.17543261074509	115.81562214120848
81	109.20242589293292	108.813966940536	114.19330487388493	115.81980276301502
82	109.44433894196163	109.07069604588864	114.24131599331197	115.82215347971675
83	109.20669633542377	108.84613401025042	114.21083484643655	115.82577600970704
84	109.03471417285797	108.67547194497573	114.18910120668431	115.82776277901132
85	109.34799834993291	108.9944329008308	114.24652172825334	115.83059526804755
86	109.19173893323818	108.83985785272412	114.22531637202803	115.83242720619276
87	109.21165647678991	108.85565336104312	114.23360195691977	115.83624059704911
88	109.12143786926194	108.77791294947085	114.2246820348744	115.83976500357377
89	109.59577084710695	109.25229984196596	114.30851198906326	115.84200900199606
90	109.30605247189624	108.97128485284819	114.26655067806983	115.84407519188714
91	115.1086618223151	114.70237089560612	115.23835822843847	115.83540166002761
92	115.12911696074806	114.69928687229516	115.2360333571867	115.8335130043972
93	115.13793715837208	114.68851240158459	115.23313129212933	115.83322046744411
94	115.16212989570624	114.68650015868448	115.23129058215659	115.83222886827524
95	115.1706989661719	114.67997006235228	115.22852602176579	115.83076446110638
96	115.18226097264981	114.67934109214279	115.22719681121484	115.83027167257157
97	115.19117683581338	114.67739402055861	115.22566778815681	115.82958762561734
98	115.19544276224012	114.67326250400318	115.22352192732852	115.82848191395956
99	115.20267027453282	114.67347792545081	115.22220420741033	115.82698240853247
100	115.208242087098	114.67104650039884	115.22017443133112	115.82658951210229
