ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	114.67408879889337	114.67408879889337	114.67408879889337	114.67408879889337
1	108.90457536585156	108.80751759661514	111.83102486531097	114.85453213400817
2	106.14867571959459	103.16567703199395	109.38998363026622	115.00062554067019
3	105.00460454326094	98.1069269001743	107.49682472770533	115.1172216719024
4	104.52545951771617	93.5125542593774	105.89990231947826	115.17599576044275
5	103.528641789985	88.87735377517325	104.45898392542172	115.22392235046178
6	102.92122058593554	84.86662944675898	103.25000648934225	115.24698833416495
7	102.85613392040825	81.61911155651097	102.39399462581896	115.28222071692554
8	102.4082347077146	79.45351405105089	101.89937595626029	115.31193806969038
9	102.30874322467997	78.44875634879381	101.73829479997339	115.34019906516615
10	102.36486828654506	78.07398550326968	101.83798037351012	115.35783762493054
11	102.75653827438839	79.01150622973466	102.26508141456654	115.39027908795084
12	102.94087085616307	80.13363759775933	102.78949496231438	115.40615881832595
13	103.40136413902556	82.2244656483057	103.51500399493985	115.41949959101618
14	103.68961377161607	84.36002029506042	104.29325077644985	115.4304946705708
15	104.23013198303332	86.35094494077637	105.0393127171908	115.45573392109652
16	104.3623344688022	88.1211498862561	105.73541608514326	115.46792118776632
17	104.49597100416919	89.93291716799304	106.4530913647576	115.47889534021422
18	105.36902413671005	92.43855147505519	107.28788902672844	115.48850259378548
19	105.62879268191031	94.12439278564653	107.94243148714735	115.4971392825105
20	106.3358811991924	95.89172672168257	108.58350687997931	115.51073066647238
21	106.43350775093451	97.31376906967392	109.10802459482666	115.52162879516655
22	106.57329277647285	98.30507165700683	109.54808880956682	115.52853077706938
23	106.9148227715529	99.62049551529061	110.00347763859644	115.53393254692321
24	107.05580191235605	100.50957552945424	110.38015910902745	115.54264356422222
25	107.30597895572012	101.43395162057448	110.7486783720367	115.55198416938606
26	107.21442457638068	101.93364970925995	111.00408309693421	115.56295218839674
27	107.30139412790926	102.58293739327758	111.2816737502786	115.57122833788809
28	107.42583093610729	103.20206796914792	111.52902134626957	115.57765865996195
29	107.4770968803092	103.6774656136911	111.74501189105953	115.58620357859324
30	107.93985054567523	104.47333457799307	111.99931466934677	115.59334974156977
31	108.01793621147796	104.82921111218403	112.17399901385805	115.60204734271389
32	107.59623127704972	104.69102762549028	112.24224486682343	115.60923364574073
33	108.07443022013766	105.39686981148104	112.45224550735558	115.62319353095664
34	108.11654299284899	105.72089802371302	112.58370265597658	115.62821142397566
35	108.27163101480072	105.99206622155116	112.71903386099856	115.634709166424
36	108.30408168308337	106.22877577549295	112.8268741133471	115.64182747958344
37	108.51166951129113	106.65399784918185	112.95604748411867	115.64536886258166
38	108.63229868968524	106.86971778094114	113.05309218324676	115.65134627124698
39	108.58865882910028	106.9114221661332	113.12022814889833	115.65592003193592
40	108.67194799585889	107.13707764590984	113.20318157086292	115.66175708235497
