Iteration	access_walk	bicycle	car	egress_walk	freight	pt	ride	transit_walk	walk
0	0.0	0.11319804181405994	0.453953060486918	0.0	0.0014730201842096616	0.17960989606720038	0.089010940871108	0.0	0.16275504057650395
1	0.0	0.1247795945635151	0.4279643846718286	0.0	0.0014730201842096616	0.18527746443395504	0.089010940871108	0.0	0.17149459527538358
2	0.0	0.13093999496216147	0.4155888247598813	0.0	0.0014730201842096616	0.1903591102739051	0.089010940871108	0.0	0.1726281089487345
3	0.0	0.13612020720848986	0.40809230196366186	0.0	0.0014730201842096616	0.1937596512939579	0.089010940871108	0.0	0.17154387847857275
4	0.0	0.14079115968853015	0.4052886352933446	0.0	0.0014730201842096616	0.19430724244050424	0.089010940871108	0.0	0.1691290015223034
5	0.0	0.14332103078557426	0.4006122069018388	0.0	0.0014730201842096616	0.19772968710641886	0.089010940871108	0.0	0.1678531141508504
6	0.0	0.14594946828899671	0.3963628996046392	0.0	0.0014730201842096616	0.20013908815122278	0.089010940871108	0.0	0.16706458289982368
7	0.0	0.14853409850069543	0.39527866913447746	0.0	0.0014730201842096616	0.2001226604168264	0.089010940871108	0.0	0.16558061089268308
8	0.0	0.15188535631755906	0.3920205018125267	0.0	0.0014730201842096616	0.1992519904938177	0.089010940871108	0.0	0.1663581903207789
9	0.0	0.15143633157739106	0.3928528403552771	0.0	0.0014730201842096616	0.20011170859389546	0.089010940871108	0.0	0.1651151584181187
10	0.0	0.15282721308961877	0.3917959894424427	0.0	0.0014730201842096616	0.2010207098971624	0.089010940871108	0.0	0.1638721265154585
11	0.0	0.1536485998094383	0.39265570754252044	0.0	0.0014730201842096616	0.20068667929776912	0.089010940871108	0.0	0.1625250522949545
12	0.0	0.15516542728537164	0.3929623585845864	0.0	0.0014730201842096616	0.20131640911629742	0.089010940871108	0.0	0.16007184395842688
13	0.0	0.1561894227294133	0.3957003143173181	0.0	0.0014730201842096616	0.19907676132692287	0.089010940871108	0.0	0.15854954057102805
14	0.0	0.15691771895431994	0.3947256020764656	0.0	0.0014730201842096616	0.19973934661424395	0.089010940871108	0.0	0.15813337129965283
15	0.0	0.15895475801947234	0.3948077407484476	0.0	0.0014730201842096616	0.19984338893208775	0.089010940871108	0.0	0.15591015124467467
16	0.0	0.15895475801947234	0.3943587160082796	0.0	0.0014730201842096616	0.199657207942262	0.089010940871108	0.0	0.15654535697466843
17	0.0	0.15802932898180902	0.39385493215345696	0.0	0.0014730201842096616	0.2018585243513783	0.089010940871108	0.0	0.15577325345803808
18	0.0	0.15905332442585068	0.3967188338498943	0.0	0.0014730201842096616	0.19937793645752336	0.089010940871108	0.0	0.154365944211414
19	0.0	0.15822098588310024	0.3982028058570349	0.0	0.0014730201842096616	0.19873177890459867	0.089010940871108	0.0	0.15436046829994854
20	0.0	0.1582264617945657	0.4001960376304636	0.0	0.0014730201842096616	0.19718209595987252	0.089010940871108	0.0	0.15391144355978054
