Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	18:26:59	18:26:59	18:27:00	18:27:00	18:27:25	18:27:25			18:27:26	18:27:26	18:28:44	18:28:44	18:28:44	18:28:44	18:28:44	18:28:44			18:28:47	18:28:47		00:00:00	00:00:25		00:00:00	00:01:18	00:00:00	00:00:00		00:00:02	00:01:47
20	18:28:47	18:28:47	18:28:47	18:28:47	18:29:11	18:29:11			18:29:11	18:29:11	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:29	18:30:43	18:30:43		00:00:00	00:00:23		00:00:00	00:01:17	00:00:00	00:00:00	00:00:00	00:00:14	00:01:56
21	18:30:43	18:30:43	18:30:44	18:30:44	18:31:09	18:31:09			18:31:09	18:31:09	18:32:38	18:32:38	18:32:38	18:32:38	18:32:38	18:32:38			18:32:41	18:32:41		00:00:00	00:00:25		00:00:00	00:01:29	00:00:00	00:00:00		00:00:02	00:01:57
22	18:32:41	18:32:41	18:32:41	18:32:41	18:33:08	18:33:08			18:33:09	18:33:09	18:34:29	18:34:29	18:34:29	18:34:29	18:34:29	18:34:29			18:34:32	18:34:32		00:00:00	00:00:27		00:00:00	00:01:20	00:00:00	00:00:00		00:00:02	00:01:51
23	18:34:32	18:34:32	18:34:32	18:34:32	18:34:58	18:34:58			18:34:59	18:34:59	18:36:22	18:36:22	18:36:23	18:36:23	18:36:23	18:36:23			18:36:25	18:36:25		00:00:00	00:00:26		00:00:00	00:01:23	00:00:00	00:00:00		00:00:02	00:01:52
24	18:36:25	18:36:25	18:36:25	18:36:25	18:36:53	18:36:53			18:36:53	18:36:53	18:38:12	18:38:12	18:38:12	18:38:12	18:38:12	18:38:12			18:38:14	18:38:14		00:00:00	00:00:27		00:00:00	00:01:18	00:00:00	00:00:00		00:00:02	00:01:49
25	18:38:15	18:38:15	18:38:15	18:38:15	18:38:41	18:38:41			18:38:41	18:38:41	18:40:00	18:40:00	18:40:00	18:40:00	18:40:00	18:40:00			18:40:02	18:40:02		00:00:00	00:00:26		00:00:00	00:01:18	00:00:00	00:00:00		00:00:02	00:01:47
26	18:40:02	18:40:02	18:40:03	18:40:03	18:40:30	18:40:30			18:40:30	18:40:30	18:41:47	18:41:47	18:41:47	18:41:47	18:41:47	18:41:47			18:41:51	18:41:51		00:00:00	00:00:27		00:00:00	00:01:17	00:00:00	00:00:00		00:00:03	00:01:48
27	18:41:51	18:41:51	18:41:51	18:41:51	18:42:21	18:42:21			18:42:22	18:42:22	18:43:42	18:43:42	18:43:42	18:43:42	18:43:43	18:43:43			18:43:46	18:43:46		00:00:00	00:00:29		00:00:00	00:01:20	00:00:00	00:00:00		00:00:03	00:01:54
28	18:43:46	18:43:46	18:43:46	18:43:46	18:44:17	18:44:17			18:44:17	18:44:17	18:45:46	18:45:46	18:45:47	18:45:47	18:45:47	18:45:47			18:45:50	18:45:50		00:00:00	00:00:30		00:00:00	00:01:29	00:00:00	00:00:00		00:00:03	00:02:03
29	18:45:50	18:45:50	18:45:50	18:45:50	18:46:23	18:46:23			18:46:23	18:46:23	18:47:42	18:47:42	18:47:42	18:47:42	18:47:42	18:47:42			18:47:46	18:47:46		00:00:00	00:00:32		00:00:00	00:01:19	00:00:00	00:00:00		00:00:03	00:01:55
30	18:47:46	18:47:46	18:47:46	18:47:46	18:48:18	18:48:18			18:48:19	18:48:19	18:49:41	18:49:41	18:49:41	18:49:41	18:49:41	18:49:41	18:49:41	18:49:41	18:50:01	18:50:01		00:00:00	00:00:32		00:00:00	00:01:21	00:00:00	00:00:00	00:00:00	00:00:20	00:02:15
31	18:50:01	18:50:01	18:50:01	18:50:01	18:50:28	18:50:28			18:50:29	18:50:29	18:54:45	18:54:45	18:54:46	18:54:46	18:54:46	18:54:46			18:54:50	18:54:50		00:00:00	00:00:26		00:00:00	00:04:16	00:00:00	00:00:00		00:00:03	00:04:48
32	18:54:50	18:54:50	18:54:51	18:54:51	19:11:30	19:11:30			19:11:30	19:11:30	19:23:28	19:23:28	19:23:28	19:23:28	19:23:28	19:23:28			19:23:29	19:23:29		00:00:00	00:16:38		00:00:00	00:11:57	00:00:00	00:00:00		00:00:01	00:28:39
33	19:23:29	19:23:29	19:23:30	19:23:30	19:36:13	19:36:13			19:36:21	19:36:21	19:37:19	19:37:19	19:37:20	19:37:20	19:37:20	19:37:20			19:37:21	19:37:21		00:00:00	00:12:43		00:00:07	00:00:58	00:00:00	00:00:00		00:00:01	00:13:51
34	19:37:21	19:37:21	19:37:21	19:37:21	19:37:37	19:37:37			19:37:37	19:37:37	19:38:29	19:38:29	19:38:29	19:38:29	19:38:30	19:38:30			19:38:31	19:38:31		00:00:00	00:00:15		00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:09
35	19:38:31	19:38:31	19:38:31	19:38:31	19:38:51	19:38:51			19:38:51	19:38:51	19:39:43	19:39:43	19:39:43	19:39:43	19:39:43	19:39:43			19:39:44	19:39:44		00:00:00	00:00:19		00:00:00	00:00:51	00:00:00	00:00:00		00:00:01	00:01:13
36	19:39:45	19:39:45	19:39:45	19:39:45	19:40:00	19:40:00			19:40:00	19:40:00	19:40:54	19:40:54	19:40:54	19:40:54	19:40:54	19:40:54			19:40:57	19:40:57		00:00:00	00:00:15		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:12
37	19:40:57	19:40:57	19:40:57	19:40:57	19:41:13	19:41:13			19:41:14	19:41:14	19:42:08	19:42:08	19:42:08	19:42:08	19:42:08	19:42:08			19:42:10	19:42:10		00:00:00	00:00:16		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:12
38	19:42:10	19:42:10	19:42:10	19:42:10	19:42:26	19:42:26			19:42:26	19:42:26	19:43:20	19:43:20	19:43:20	19:43:20	19:43:20	19:43:20			19:43:22	19:43:22		00:00:00	00:00:15		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:11
39	19:43:22	19:43:22	19:43:22	19:43:22	19:43:39	19:43:39			19:43:39	19:43:39	19:44:31	19:44:31	19:44:31	19:44:31	19:44:31	19:44:31			19:44:33	19:44:33		00:00:00	00:00:16		00:00:00	00:00:51	00:00:00	00:00:00		00:00:02	00:01:10
40	19:44:33	19:44:33	19:44:33	19:44:33	19:44:52	19:44:52			19:44:52	19:44:52	19:45:43	19:45:43	19:45:43	19:45:43	19:45:43	19:45:43	19:45:43	19:45:43	19:45:56	19:45:56		00:00:00	00:00:18		00:00:00	00:00:51	00:00:00	00:00:00	00:00:00	00:00:12	00:01:23
