Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
80	20:35:44	20:35:44	20:35:44	20:35:44	20:36:05	20:36:05			20:36:05	20:36:05	20:36:58	20:36:58	20:36:58	20:36:58	20:36:58	20:36:58	20:36:58	20:36:58	20:37:12	20:37:12		00:00:00	00:00:20		00:00:00	00:00:53	00:00:00	00:00:00	00:00:00	00:00:13	00:01:27
81	20:37:12	20:37:12	20:37:12	20:37:12	20:37:29	20:37:29			20:37:30	20:37:30	20:38:22	20:38:22	20:38:22	20:38:22	20:38:22	20:38:22			20:38:24	20:38:24		00:00:00	00:00:17		00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:11
82	20:38:24	20:38:24	20:38:24	20:38:24	20:38:42	20:38:42			20:38:43	20:38:43	20:39:35	20:39:35	20:39:35	20:39:35	20:39:35	20:39:35			20:39:37	20:39:37		00:00:00	00:00:18		00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:13
83	20:39:37	20:39:37	20:39:37	20:39:37	20:40:00	20:40:00			20:40:01	20:40:01	20:40:54	20:40:54	20:40:54	20:40:54	20:40:54	20:40:54			20:40:56	20:40:56		00:00:00	00:00:23		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:18
84	20:40:56	20:40:56	20:40:56	20:40:56	20:41:14	20:41:14			20:41:15	20:41:15	20:42:08	20:42:08	20:42:08	20:42:08	20:42:08	20:42:08			20:42:10	20:42:10		00:00:00	00:00:18		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:14
85	20:42:10	20:42:10	20:42:10	20:42:10	20:42:29	20:42:29			20:42:29	20:42:29	20:43:25	20:43:25	20:43:25	20:43:25	20:43:25	20:43:25			20:43:27	20:43:27		00:00:00	00:00:18		00:00:00	00:00:56	00:00:00	00:00:00		00:00:01	00:01:17
86	20:43:27	20:43:27	20:43:27	20:43:27	20:43:47	20:43:47			20:43:47	20:43:47	20:44:43	20:44:43	20:44:43	20:44:43	20:44:43	20:44:43			20:44:46	20:44:46		00:00:00	00:00:19		00:00:00	00:00:55	00:00:00	00:00:00		00:00:03	00:01:18
87	20:44:46	20:44:46	20:44:46	20:44:46	20:45:09	20:45:09			20:45:09	20:45:09	20:46:09	20:46:09	20:46:09	20:46:09	20:46:09	20:46:09			20:46:12	20:46:12		00:00:00	00:00:23		00:00:00	00:00:59	00:00:00	00:00:00		00:00:02	00:01:26
88	20:46:12	20:46:12	20:46:12	20:46:12	20:46:30	20:46:30			20:46:30	20:46:30	20:47:29	20:47:29	20:47:29	20:47:29	20:47:29	20:47:29			20:47:32	20:47:32		00:00:00	00:00:17		00:00:00	00:00:58	00:00:00	00:00:00		00:00:02	00:01:19
89	20:47:32	20:47:32	20:47:32	20:47:32	20:47:50	20:47:50			20:47:50	20:47:50	20:48:49	20:48:49	20:48:49	20:48:49	20:48:49	20:48:49			20:48:52	20:48:52		00:00:00	00:00:18		00:00:00	00:00:59	00:00:00	00:00:00		00:00:02	00:01:20
90	20:48:52	20:48:52	20:48:52	20:48:52	20:49:11	20:49:11			20:49:11	20:49:11	20:50:07	20:50:07	20:50:07	20:50:07	20:50:08	20:50:08	20:50:08	20:50:08	20:50:25	20:50:25		00:00:00	00:00:18		00:00:00	00:00:56	00:00:00	00:00:00	00:00:00	00:00:17	00:01:32
91	20:50:25	20:50:25	20:50:25	20:50:25	20:50:25	20:50:25			20:50:26	20:50:26	20:51:26	20:51:26	20:51:26	20:51:26	20:51:26	20:51:26			20:51:27	20:51:27		00:00:00	00:00:00		00:00:00	00:01:00	00:00:00	00:00:00		00:00:01	00:01:02
92	20:51:27	20:51:27	20:51:28	20:51:28	20:51:28	20:51:28			20:51:28	20:51:28	20:52:25	20:52:25	20:52:25	20:52:25	20:52:25	20:52:25			20:52:27	20:52:27		00:00:00	00:00:00		00:00:00	00:00:57	00:00:00	00:00:00		00:00:01	00:00:59
93	20:52:27	20:52:27	20:52:27	20:52:27	20:52:27	20:52:27			20:52:28	20:52:28	20:53:26	20:53:26	20:53:26	20:53:26	20:53:26	20:53:26			20:53:28	20:53:28		00:00:00	00:00:00		00:00:00	00:00:58	00:00:00	00:00:00		00:00:01	00:01:00
94	20:53:28	20:53:28	20:53:28	20:53:28	20:53:28	20:53:28			20:53:28	20:53:28	20:54:27	20:54:27	20:54:28	20:54:28	20:54:28	20:54:28			20:54:29	20:54:29		00:00:00	00:00:00		00:00:00	00:00:59	00:00:00	00:00:00		00:00:01	00:01:01
95	20:54:29	20:54:29	20:54:29	20:54:29	20:54:30	20:54:30			20:54:30	20:54:30	20:55:26	20:55:26	20:55:26	20:55:26	20:55:26	20:55:26			20:55:28	20:55:28		00:00:00	00:00:00		00:00:00	00:00:55	00:00:00	00:00:00		00:00:01	00:00:58
96	20:55:28	20:55:28	20:55:28	20:55:28	20:55:28	20:55:28			20:55:28	20:55:28	20:56:29	20:56:29	20:56:29	20:56:29	20:56:29	20:56:29			20:56:32	20:56:32		00:00:00	00:00:00		00:00:00	00:01:01	00:00:00	00:00:00		00:00:02	00:01:04
97	20:56:32	20:56:32	20:56:32	20:56:32	20:56:33	20:56:33			20:56:33	20:56:33	20:57:37	20:57:37	20:57:37	20:57:37	20:57:37	20:57:37			20:57:40	20:57:40		00:00:00	00:00:00		00:00:00	00:01:04	00:00:00	00:00:00		00:00:02	00:01:07
98	20:57:40	20:57:40	20:57:40	20:57:40	20:57:40	20:57:40			20:57:40	20:57:40	20:58:36	20:58:36	20:58:36	20:58:36	20:58:36	20:58:36			20:58:40	20:58:40		00:00:00	00:00:00		00:00:00	00:00:55	00:00:00	00:00:00		00:00:04	00:01:00
99	20:58:40	20:58:40	20:58:41	20:58:41	20:58:41	20:58:41			20:58:41	20:58:41	20:59:37	20:59:37	20:59:37	20:59:37	20:59:37	20:59:37			20:59:39	20:59:39		00:00:00	00:00:00		00:00:00	00:00:56	00:00:00	00:00:00		00:00:02	00:00:58
100	20:59:40	20:59:40	20:59:40	20:59:40	20:59:40	20:59:40	20:59:40	21:00:00	21:00:01	21:00:01	21:01:28	21:01:28	21:01:28	21:01:28	21:01:28	21:01:28	21:01:28	21:01:28	21:01:40	21:01:40		00:00:00	00:00:00	00:00:20	00:00:20	00:01:27	00:00:00	00:00:00	00:00:00	00:00:11	00:02:00
