pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---home_54000.0	207	41	18	7	5	2	1	0	1	0	0	0	0
car interaction---home_54600.0	211	52	10	7	2	1	1	0	0	0	0	0	0
car interaction---home_55200.0	206	43	16	7	4	0	0	0	0	0	0	1	0
car interaction---home_55800.0	216	38	8	7	4	1	0	1	0	1	0	0	0
car interaction---home_56400.0	229	53	13	6	1	1	1	1	0	0	0	0	0
car interaction---home_57000.0	206	30	6	3	2	4	1	0	0	0	0	0	0
car interaction---home_57600.0	200	47	14	4	3	1	2	0	0	0	0	1	0
car interaction---home_58200.0	221	33	8	2	2	0	1	1	0	0	0	0	0
car interaction---home_58800.0	222	41	10	5	3	0	1	0	0	0	0	0	0
car interaction---home_59400.0	243	32	9	1	3	1	0	0	0	1	0	0	0
car interaction---home_600.0	321	67	13	10	6	2	2	0	0	0	0	0	0
car interaction---home_6000.0	149	28	6	1	1	0	0	0	0	0	0	0	0
car interaction---home_60000.0	194	42	7	5	1	1	1	0	1	0	1	0	0
car interaction---home_60600.0	244	40	7	6	0	4	0	0	0	0	1	0	0
car interaction---home_61200.0	211	34	11	5	2	1	2	1	1	0	0	0	0
car interaction---home_61800.0	206	42	4	5	2	3	0	0	0	0	0	0	0
car interaction---home_62400.0	198	38	10	5	2	2	0	0	0	0	0	0	0
car interaction---home_63000.0	188	33	5	5	3	1	0	0	0	0	0	0	0
car interaction---home_63600.0	185	32	7	2	0	2	0	0	0	0	0	0	0
car interaction---home_64200.0	188	39	3	5	4	1	0	0	0	0	0	0	0
car interaction---home_64800.0	172	31	4	4	1	0	2	0	0	0	0	0	0
car interaction---home_65400.0	167	26	4	4	3	2	0	0	1	0	0	0	0
car interaction---home_6600.0	132	25	7	7	2	1	2	1	1	0	0	0	0
car interaction---home_66000.0	169	37	8	2	4	1	0	0	1	0	0	0	0
car interaction---home_66600.0	153	31	9	3	3	2	0	1	1	0	0	0	0
car interaction---home_67200.0	150	25	3	3	1	1	2	0	0	0	0	0	0
car interaction---home_67800.0	137	37	5	2	1	0	0	0	0	0	0	0	0
car interaction---home_68400.0	118	22	6	3	2	2	1	0	0	0	0	0	0
car interaction---home_69000.0	129	27	6	2	3	1	1	2	1	0	0	0	0
car interaction---home_69600.0	102	24	3	3	2	3	0	2	0	0	0	0	0
car interaction---home_70200.0	115	18	4	4	2	0	1	0	0	0	0	0	0
car interaction---home_70800.0	110	27	5	5	1	0	0	0	0	0	0	0	0
car interaction---home_71400.0	122	15	7	2	1	1	0	0	0	0	1	0	0
car interaction---home_7200.0	107	24	9	1	2	2	0	0	0	0	0	0	0
car interaction---home_72000.0	94	21	7	4	0	0	1	1	0	0	0	0	0
car interaction---home_72600.0	94	26	4	3	1	1	1	0	0	0	0	0	0
car interaction---home_73200.0	105	12	7	4	1	1	0	0	0	0	0	0	0
car interaction---home_73800.0	95	17	5	3	1	0	0	0	0	0	0	0	0
car interaction---home_74400.0	92	13	5	1	1	1	0	1	1	0	0	0	0
car interaction---home_75000.0	122	20	4	0	1	2	0	0	0	0	0	0	0
car interaction---home_75600.0	91	26	4	3	0	0	1	0	0	0	0	0	0
car interaction---home_76200.0	95	22	6	0	1	0	0	1	0	0	1	0	0
car interaction---home_76800.0	115	24	5	5	0	1	2	0	0	1	0	0	0
car interaction---home_77400.0	87	16	1	2	1	0	0	0	1	0	0	0	0
car interaction---home_7800.0	112	26	7	3	1	2	0	0	0	0	0	0	0
car interaction---home_78000.0	105	20	6	1	2	1	1	0	0	0	0	0	1
car interaction---home_78600.0	91	18	8	5	1	1	0	0	0	0	0	0	0
car interaction---home_79200.0	89	15	8	3	1	1	1	0	0	0	0	0	0
car interaction---home_79800.0	92	18	8	1	1	1	0	0	0	0	0	0	0
car interaction---home_80400.0	88	20	3	0	1	0	0	0	0	0	0	1	0
car interaction---home_81000.0	99	15	8	3	3	0	1	0	0	0	0	0	0
car interaction---home_81600.0	97	24	9	1	0	0	0	1	0	0	0	0	0
car interaction---home_82200.0	103	21	5	3	0	0	0	0	0	1	0	0	0
car interaction---home_82800.0	80	19	7	3	2	0	0	0	0	0	0	1	0
car interaction---home_83400.0	93	21	4	1	0	0	1	0	0	0	0	0	1
car interaction---home_8400.0	84	23	6	1	2	1	0	0	0	0	0	0	0
car interaction---home_84000.0	116	19	8	2	2	2	2	1	0	0	1	0	0
car interaction---home_84600.0	96	15	9	2	3	1	0	0	0	0	0	0	0
car interaction---home_85200.0	82	19	5	0	0	0	0	0	0	0	0	0	1
car interaction---home_85800.0	92	32	1	2	0	0	1	0	0	0	0	0	0
car interaction---home_86400.0	100	21	2	8	1	3	0	1	0	0	0	0	0
car interaction---home_87000.0	110	23	3	0	1	2	1	1	0	0	0	0	0
car interaction---home_87600.0	104	20	6	1	2	1	0	1	1	0	0	0	0
car interaction---home_88200.0	99	17	6	1	2	1	0	0	0	0	0	0	0
car interaction---home_88800.0	95	15	9	0	1	0	0	0	0	1	0	0	0
car interaction---home_89400.0	107	17	3	6	1	0	0	1	1	1	0	0	0
car interaction---home_9000.0	91	21	4	1	2	1	1	0	0	0	0	0	0
car interaction---home_90000.0	117	25	5	1	1	0	0	0	1	0	0	0	0
car interaction---home_90600.0	118	27	12	0	1	0	2	0	0	0	0	0	0
car interaction---home_91200.0	135	35	9	4	1	2	1	1	1	1	0	0	0
car interaction---home_91800.0	147	48	14	2	4	0	0	0	0	0	0	0	0
car interaction---home_92400.0	155	27	9	4	1	3	0	1	0	0	0	0	0
car interaction---home_93000.0	162	50	11	4	1	1	0	0	0	0	0	0	0
car interaction---home_93600.0	170	34	18	3	0	1	0	0	0	0	0	0	0
car interaction---home_94200.0	169	29	17	9	3	0	1	0	0	0	0	0	0
car interaction---home_94800.0	207	39	10	2	1	0	0	0	0	0	0	0	0
car interaction---home_95400.0	183	24	1	1	4	0	0	1	0	0	0	0	0
car interaction---home_9600.0	82	15	4	4	1	0	0	0	0	0	0	0	0
car interaction---home_96000.0	63	5	2	1	0	0	1	0	1	0	0	0	0
car interaction---home_96600.0	18	5	3	0	0	0	0	0	0	0	0	0	0
car interaction---home_97200.0	1	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_10200.0	80	11	7	1	2	0	0	0	0	0	0	0	0
car interaction---leisure_10800.0	58	10	4	3	0	1	0	0	0	0	0	0	0
car interaction---leisure_11400.0	51	3	4	4	0	0	0	1	0	1	0	0	0
car interaction---leisure_1200.0	1291	247	93	38	29	17	8	3	2	3	0	0	0
car interaction---leisure_12000.0	40	10	1	3	1	1	0	0	0	0	0	0	0
car interaction---leisure_12600.0	35	11	5	2	0	0	0	1	0	0	0	0	0
car interaction---leisure_13200.0	32	2	3	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_13800.0	35	6	3	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_14400.0	18	7	3	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_15000.0	32	0	1	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_15600.0	18	9	4	1	1	0	0	0	0	0	0	0	0
car interaction---leisure_16200.0	25	4	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_16800.0	23	3	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_17400.0	14	3	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_1800.0	939	175	67	23	15	10	1	1	0	1	0	1	1
car interaction---leisure_18000.0	16	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_18600.0	8	1	1	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_19200.0	17	2	0	2	0	1	0	0	0	0	0	0	0
car interaction---leisure_19800.0	15	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_20400.0	8	1	1	1	0	0	0	1	0	0	0	0	0
car interaction---leisure_21000.0	10	5	2	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_21600.0	12	1	1	0	1	0	0	0	0	0	0	0	0
car interaction---leisure_22200.0	7	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_22800.0	3	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_23400.0	6	1	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_2400.0	615	119	52	25	8	6	6	3	0	0	0	0	0
car interaction---leisure_24000.0	4	3	0	0	0	0	0	1	0	0	0	0	0
car interaction---leisure_24600.0	2	1	2	0	0	0	0	0	0	1	0	0	0
car interaction---leisure_25200.0	4	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_25800.0	4	2	1	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_26400.0	1	1	0	1	0	0	0	0	0	0	0	0	0
car interaction---leisure_27600.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_28200.0	2	0	0	0	0	1	0	0	0	0	0	0	0
car interaction---leisure_28800.0	9	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_29400.0	1	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_3000.0	550	77	25	11	10	5	4	3	2	2	0	0	0
car interaction---leisure_30000.0	0	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_30600.0	1	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_31200.0	2	1	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_31800.0	0	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_32400.0	3	0	1	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_33000.0	1	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---leisure_33600.0	4	1	0	0	0	0	0	0	0	0	0	0	0
