age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
18 - 25,,,,,,,0 - 1000,pt,0.00023561400016997695
18 - 25,,,,,,,0 - 1000,ride,0.00012385283120214407
18 - 25,,,,,,,0 - 1000,walk,0.008069002092563936
18 - 25,,,,,,,1000 - 2000,bike,0.002028124042469899
18 - 25,,,,,,,1000 - 2000,car,0.0005968294026813628
18 - 25,,,,,,,1000 - 2000,pt,0.0014637511700461901
18 - 25,,,,,,,1000 - 2000,ride,0.00015932274468686333
18 - 25,,,,,,,1000 - 2000,walk,0.00271524800733926
18 - 25,,,,,,,2000 - 5000,bike,0.0037726492395604477
18 - 25,,,,,,,2000 - 5000,car,0.0013884089847483213
18 - 25,,,,,,,2000 - 5000,pt,0.006534172962434739
18 - 25,,,,,,,2000 - 5000,ride,0.0006266720094108574
18 - 25,,,,,,,2000 - 5000,walk,0.0009459002061526505
18 - 25,,,,,,,5000 - 10000,bike,0.0014564852917102107
18 - 25,,,,,,,5000 - 10000,car,0.0018238841737853375
18 - 25,,,,,,,5000 - 10000,pt,0.010082997804321684
18 - 25,,,,,,,5000 - 10000,ride,0.0007481598039209727
18 - 25,,,,,,,5000 - 10000,walk,7.971861202079858e-05
18 - 25,,,,,,,10000 - 20000,bike,0.00013635820530129959
18 - 25,,,,,,,10000 - 20000,car,0.0014058205836528842
18 - 25,,,,,,,10000 - 20000,pt,0.008349501211167018
18 - 25,,,,,,,10000 - 20000,ride,0.0005815231393334991
18 - 25,,,,,,,10000 - 20000,walk,2.749147329899406e-05
18 - 25,,,,,,,20000+,bike,2.148829801837644e-05
18 - 25,,,,,,,20000+,car,0.0011849509687035997
18 - 25,,,,,,,20000+,pt,0.0030998178565597033
18 - 25,,,,,,,20000+,ride,0.00032491946082011954
18 - 25,,,,,,,20000+,walk,5.7083633394889036e-06
25 - 35,,,,,,,0 - 1000,bike,0.0042852561388654785
25 - 35,,,,,,,0 - 1000,car,0.0009168183383532765
25 - 35,,,,,,,0 - 1000,pt,0.0002022489929617155
25 - 35,,,,,,,0 - 1000,ride,0.0001480562319291914
25 - 35,,,,,,,0 - 1000,walk,0.035267805475233074
25 - 35,,,,,,,1000 - 2000,bike,0.006146363435432691
25 - 35,,,,,,,1000 - 2000,car,0.002462073187140846
25 - 35,,,,,,,1000 - 2000,pt,0.002223103057206319
25 - 35,,,,,,,1000 - 2000,ride,0.0004270863548432357
25 - 35,,,,,,,1000 - 2000,walk,0.008342098773894857
25 - 35,,,,,,,2000 - 5000,bike,0.010681005886217319
25 - 35,,,,,,,2000 - 5000,car,0.005405348609556078
25 - 35,,,,,,,2000 - 5000,pt,0.012636152482188533
25 - 35,,,,,,,2000 - 5000,ride,0.0010950846328671084
25 - 35,,,,,,,2000 - 5000,walk,0.002296667696036939
