dist,car,pt,walk,bike,ride
0,0.0037424738703138636,0.0,0.9637800567177032,0.03242636610486487,5.110330711807385e-05
100,0.01076106859735657,0.0,0.9288572059694699,0.05731812342709696,0.003063602006076673
200,0.017591385232165253,0.0032981101320085984,0.8922946887583483,0.080822102970857,0.005993712906620933
300,0.02432543881493794,0.006855131359221742,0.8566520012914545,0.10329405554674816,0.00887337298763771
400,0.03098087372302792,0.010507034434956729,0.8219180059686118,0.12488294699729276,0.01171113887611085
500,0.037563976677828605,0.014233165677885119,0.7878859266730186,0.1457988050031123,0.014518125968155446
600,0.04435083766988304,0.018150933042837745,0.7527720103886362,0.1672928313524546,0.017433387546188363
700,0.05365669067290396,0.024946747367149406,0.7097067346252479,0.19019126137147843,0.021498565963220216
800,0.06457826176518736,0.03361123473465403,0.6607596415615524,0.2145256426573159,0.026525219281290167
900,0.0768724880440225,0.04435927456709088,0.6081838446494483,0.23807434252279921,0.032510050216639066
1000,0.09030943241582277,0.057128998378284064,0.5544382812266183,0.2589134551048169,0.03920983287445789
1100,0.1045737873955623,0.07177560363505843,0.5010943829979104,0.27626159618822316,0.04629462978324578
1200,0.11909593833008135,0.08785313860557883,0.4495451603887053,0.29021423853893963,0.053291524136694926
1300,0.13335349788444234,0.10458521832598074,0.40164248985036016,0.3006136356077182,0.05980515833149844
1400,0.14655168403396923,0.12187921942384386,0.358383087327763,0.30762834940727296,0.065557659807151
1500,0.15848783127192648,0.1395100145540797,0.319687111983441,0.31175341670900597,0.07056162548154697
1600,0.16957563069745457,0.15700139043824768,0.2854619443018621,0.31330339048546924,0.07465764407696639
1700,0.18003517663934349,0.1741895130222349,0.2550819185948588,0.31291304869004966,0.07778034305351313
1800,0.18994227951991444,0.19114455718641282,0.22699314584168373,0.31202400389351725,0.07989601355847176
1900,0.19909100762267976,0.20763261539931188,0.2007953807500315,0.3110779530562006,0.08140304317177624
2000,0.20683235631045657,0.223138633790338,0.17744678328748717,0.3098391634444556,0.08274306316726264
2100,0.21303573948972196,0.2375743838194825,0.1577470307247475,0.3075651363156377,0.08407770965041024
2200,0.21814088222680997,0.25063700930017785,0.14091108800629354,0.3048995445049422,0.08541147596177648
2300,0.2227276704956149,0.26185923584511595,0.12601901386936062,0.3026940262077551,0.0867000535821534
2400,0.22665508516609292,0.2708607698333718,0.11348853411263017,0.3010879953006873,0.08790761558721782
2500,0.23051388971733452,0.2783535401663544,0.10278872622253347,0.299115330874945,0.08922851301883283
2600,0.23452921987668984,0.28597988676058206,0.0928324982325795,0.29585829759827714,0.09080009753187154
2700,0.23849727623193342,0.29464982177648014,0.08346252591457545,0.2907479207738276,0.0926424553031833
2800,0.2424152731849277,0.30377170043752977,0.07518730207218838,0.2841615158539652,0.09446420845138892
2900,0.2459363461030236,0.3124643191212463,0.06774042115992725,0.27748392023720764,0.09637499337859526
3000,0.2488394132412561,0.3197648194575482,0.06060280651372983,0.27216524272596593,0.09862771806149982
3100,0.2509804673903633,0.3257864105374777,0.054414518026640664,0.26794102673812414,0.10087757730739413
3200,0.25165135806677125,0.3319066666322785,0.049639008126429664,0.2643904357720552,0.10241253140246546
3300,0.2509490309509179,0.3390492863562056,0.04593654461992319,0.26114661854679455,0.10291851952615876
3400,0.25011653790018246,0.347379814524734,0.04259093918455231,0.2572934567050988,0.10261925168543222
3500,0.2500874757298046,0.35562922309573225,0.03938969762390775,0.253376057411721,0.1015175461388344
3600,0.250720276452378,0.36240883935871304,0.036425979220625196,0.250377838594099,0.10006706637418489
3700,0.2518580240989362,0.36791891579208647,0.034014693544720934,0.24796549311448493,0.09824287344977134
3800,0.253414300921184,0.37348582441446115,0.0320078634346655,0.24479004937272714,0.09630196185696208
3900,0.2553861786417536,0.37955778474647495,0.03016013609528118,0.24031643710137607,0.0945794634151143
4000,0.25784517818791247,0.3856400324400185,0.028675194332105358,0.23493939758758656,0.09290019745237714
4100,0.26003292823774,0.3908621011476451,0.02715321372194801,0.23032575360027374,0.09162600329239326
4200,0.26161634009110574,0.39408496458068015,0.025648823064639815,0.22734492613356375,0.09130494613001047
4300,0.26181937439579,0.39635011422469,0.024531648279304562,0.2260171350450598,0.09128172805515558
4400,0.26012486916304417,0.39883157871111397,0.023607723953463125,0.2262630607188959,0.09117276745348292
4500,0.25819047601744294,0.4012381742608041,0.022603985515792905,0.22691202515706982,0.09105533904889014
4600,0.2578769346102508,0.4038346915378488,0.021100466634713235,0.2264004367553908,0.09078747046179628
4700,0.2593431391366367,0.4068070991474907,0.01911358723079576,0.2245998730278859,0.09013630145719095
4800,0.2620059155829417,0.41018775259973733,0.01711225896136009,0.2211473866849604,0.08954668617100058
4900,0.26497954170309385,0.4143657755044124,0.01540239058012177,0.21604951021676164,0.08920278199561035
5000,0.26710590802244455,0.4195110616014251,0.014014559757604197,0.21026922284973096,0.08909924776879534
5100,0.2687236544425919,0.4249663352707466,0.012917198928139528,0.20465244224599544,0.08874036911252654
5200,0.27023174975369973,0.43003979377431006,0.012299662454150848,0.19966263370005757,0.08776616031778177
5300,0.2713754088693854,0.4339576235912531,0.012225895343901456,0.19540788135146617,0.087033190843994
5400,0.2721050847885167,0.4354692517737707,0.01264212877658934,0.19244170109677758,0.0873418335643455
5500,0.27219723082300123,0.43566799492702746,0.013150089230673942,0.19105858720162888,0.08792609781766832
5600,0.2715775032019759,0.43619020324306895,0.013233937544085358,0.19093145770300615,0.08806689830786377
5700,0.2714051979776832,0.43746162845678405,0.012959170727866775,0.19076226026795015,0.08741174256971578
5800,0.2733856367020928,0.4377290045158926,0.012575059462542506,0.1900995201133431,0.0862107792061289
5900,0.27795017220005336,0.4363341283017164,0.012282995431145931,0.18832349268951154,0.08510921137757277
6000,0.2843655981528803,0.43370094483853844,0.011957185652065947,0.18530920677265825,0.08466706458385721
6100,0.2908081266112311,0.43147178969577116,0.011236762369505934,0.181492871088838,0.08499045023465378
6200,0.2951582051306338,0.4319581196213179,0.0101236064075378,0.17750525516658355,0.08525481367392695
6300,0.29740472417331354,0.43645671827425025,0.008853621253827111,0.1727696935856948,0.08451524271291434
6400,0.2984843445512483,0.4432910636755629,0.007870397647867716,0.16715348705711328,0.08320070706820784
6500,0.29851775136318714,0.4499299500824592,0.007600921577348883,0.1620363363840093,0.08191504059299559
6600,0.2972073023967948,0.455270728366472,0.007584778005651125,0.1590592980987331,0.08087789313234901
6700,0.2941572504853808,0.46101800601284937,0.007297498189976008,0.15799732196088634,0.0795299233509075
6800,0.28893574985673925,0.46871845989347694,0.006816166217663282,0.15768139004362522,0.07784823398849523
6900,0.28339486653466966,0.47661177937750987,0.006469412856955874,0.15719152747285178,0.07633241375801285
7000,0.28072891527664423,0.4813166406868909,0.006422972764716936,0.15585253575799313,0.07567893551375482
7100,0.28197510128463754,0.4824863125095627,0.006523588669624639,0.1534796881608759,0.07553530937529924
7200,0.2855093904675016,0.4813579712247858,0.006380054463627665,0.15125128901609816,0.07550129482798687
7300,0.29007335074241447,0.47889419781715015,0.005954284839934455,0.1490498171624661,0.07602834943803476
7400,0.2951313027529374,0.47593109225971275,0.005572932199724868,0.14645807732786795,0.07690659545975702
7500,0.3005547581804822,0.4733190216108463,0.005558626125956849,0.14286409789045934,0.07770349619225515
7600,0.30611701657591234,0.4715779548813758,0.0058643972354216825,0.1380551991733368,0.07838543213395331
7700,0.3116549973032995,0.4704041091737768,0.006327715802500953,0.1330609472737587,0.0785522304466641
7800,0.3161594782847844,0.4713171274633719,0.0064830211036454805,0.12805494301662104,0.07798543013157726
7900,0.3178703278328324,0.47532206012352585,0.006366517271907476,0.12374384378754096,0.07669725098419326
8000,0.3168184904648536,0.4804856659970167,0.006576851132195019,0.1211306693860434,0.07498832301989125
8100,0.3157796031057994,0.48418479529291697,0.007072742333256225,0.11919387229009269,0.0737689869779347
8200,0.31704745207498874,0.48570685551839676,0.007606232186310289,0.11608416521858897,0.07355529500171522
8300,0.32022357028413834,0.4863466371265616,0.007926927516127088,0.11166140749394761,0.07384145757922543
8400,0.3229311078042885,0.48809111676236544,0.007688934099816494,0.10714389083783166,0.074144950495698
8500,0.3246024770612771,0.4900515652959748,0.007061973708499128,0.10357712702168978,0.0747068569125592
8600,0.32526773579441054,0.4916773965897865,0.00641764856395006,0.10180170196908563,0.0748355170827674
8700,0.3250994103674058,0.49262916710984,0.005990736724250587,0.10160821300969018,0.0746724727888134
8800,0.3239174212829479,0.49331731707813287,0.005807377152110568,0.1026071458205699,0.07435073866623876
8900,0.32163500899901626,0.49429581005699263,0.0055443222247266236,0.10454612002235204,0.07397873869691234
9000,0.31760810957960195,0.4970407190851473,0.005077028340739407,0.10708538606908792,0.07318875692542347
9100,0.31121880701193017,0.5023694299326185,0.0047154197360927885,0.11014376804944127,0.07155257526991722
9200,0.3044439953327061,0.5089394756076302,0.004777041483097792,0.11287449133214475,0.0689649962444211
9300,0.29878893781115884,0.5151836995232265,0.005057674509470823,0.11464009797248727,0.06632959018365658
9400,0.29498877404504986,0.5204662427431002,0.005359206089746639,0.11494985530923287,0.06423592181287055
9500,0.29340262590627353,0.5251242439790361,0.005464548433739457,0.11329434435931451,0.06271423732163629
9600,0.2938186965813402,0.5294028011667532,0.0054849007306192335,0.10954596601483256,0.06174763550645482
9700,0.29681721309422926,0.5302018295212423,0.005934267188095648,0.10492482357666531,0.06212186661976755
9800,0.30106034479501137,0.527348923931197,0.0064730531905681545,0.10232248360877069,0.06279519447445277
9900,0.30457832041287863,0.5224245821441532,0.0068693522715117476,0.10239246625797135,0.06373527891348522
10000,0.3062981937048328,0.5169537422408678,0.00727744261988896,0.10432278174633901,0.06514783968807139
10100,0.3074937131992708,0.5118486910982251,0.0077476393872350675,0.10633391675352451,0.06657603956174449
10200,0.3095077469114112,0.5081420689289552,0.008226032621436055,0.10672362625319809,0.06740052528499947
10300,0.3135812403416132,0.5056629796264088,0.008699738176279363,0.10424719615934173,0.06780884569635669
10400,0.31909787811161155,0.5038830706337071,0.0089402322286805,0.09981670093790336,0.06826211808809765
10500,0.32347356876454075,0.5037075434451439,0.00871428643665806,0.09450649754715894,0.0695981038064982
10600,0.326251013791951,0.5057797666227234,0.00785617175870927,0.08896135923650798,0.07115168859010831
10700,0.32839789864145685,0.5090103456621669,0.006569123362634646,0.0839121112964518,0.07211052103728982
10800,0.3296737858096685,0.5125151080896696,0.005418677286809695,0.07960632471272691,0.07278610410112528
10900,0.33043421701820097,0.5147155449538661,0.005053258393803502,0.07605548590296898,0.07374149373116051
11000,0.3305980954098099,0.5157397012101709,0.005351786771542759,0.0738185343444687,0.07449188226400777
11100,0.3303774701079983,0.5159719594985959,0.005987316487161651,0.07233650029199216,0.07532675361425205
11200,0.3298804371269892,0.51578760336166,0.007050275787759895,0.0718745201452061,0.07540716357838481
11300,0.3294314271977603,0.5168036909502709,0.008229429978491024,0.07236032871055054,0.0731751231629272
11400,0.32850198427084576,0.5198179907401289,0.00928353951710541,0.07352619098849397,0.06887029448342594
11500,0.32852106197954534,0.522206890912858,0.010218581268351928,0.07460447250275734,0.06444899333648749
11600,0.33065517026969904,0.5216956223540539,0.010947862727962743,0.07513240970295054,0.061568934945333935
11700,0.3337456380189124,0.5202677106955668,0.010979497013100303,0.07491654796591564,0.06009060630650515
11800,0.33587763498434653,0.5206063167308016,0.01018481587145331,0.0747316019649279,0.05859963044847049
11900,0.33614655661425497,0.5225161288787512,0.008822131398381452,0.07544044850082852,0.05707473460778384
12000,0.3338905344262103,0.5265611922646354,0.007176023648060972,0.07621663024568795,0.05615561941540549
12100,0.3294186553822139,0.5320498616777665,0.005597989549993298,0.07666818337947542,0.056265310010550844
12200,0.32482533676016306,0.5362477966667006,0.004395132195729528,0.07696118163228312,0.057570552745123675
12300,0.3224772178349448,0.5378844024743671,0.003439792630429839,0.07698615650968563,0.059212430550572764
12400,0.3218956880684586,0.5399505802403047,0.002879365571546708,0.07532655457087649,0.05994781154881349
12500,0.32202958213803823,0.5433401136926727,0.0025506667158389116,0.07228906161251428,0.05979057584093606
12600,0.32320379354523837,0.5451785499274585,0.0024913218315695167,0.06969728376762711,0.05942905092810639
12700,0.32603886299800794,0.5425833814032557,0.002826903579806935,0.06857560317378396,0.05997524884514537
12800,0.33026008441740284,0.5363187324957062,0.0034255027799205053,0.06826337748740262,0.06173230281956792
12900,0.33475995149219023,0.5297090922082452,0.004039680613570709,0.06790961084769678,0.06358166483829708
13000,0.33792504232429127,0.5266634970678206,0.0045348272154547105,0.06622622829388451,0.06465040509854893
13100,0.3398968483381241,0.5267173816315408,0.004938982010060916,0.06326819281420798,0.06517859520606638
13200,0.3407497991006569,0.5293626498785775,0.005138355236041652,0.05948583548883642,0.06526336029588753
13300,0.33933882981966207,0.5335721637709978,0.005248826818753496,0.056330520167511444,0.06550965942307518
13400,0.33715579490787384,0.5371726029998679,0.005277368298299459,0.05467914773435832,0.0657150860596005
13500,0.3349712744713319,0.540469271970342,0.005129402168622785,0.05395838359982125,0.06547166778988188
13600,0.33283649743895677,0.5449426487350431,0.004546365712944915,0.053118325364168426,0.06455616274888668
13700,0.3298455730384709,0.5505293002414532,0.003524189617407347,0.05257669764918765,0.06352423945348096
13800,0.325322709456744,0.5550393828711155,0.0024594981782561087,0.05434058880726321,0.06283782068662111
13900,0.31980970330218583,0.5549270985608575,0.00206845921327039,0.05944434064450959,0.06375039827917656
14000,0.31535448188138654,0.5511121617905271,0.0027878845952700863,0.0650894728064964,0.0656559989263198
14100,0.3142452747734124,0.5448148941602975,0.004091013792488764,0.06894923600267576,0.06789958127112539
14200,0.31559952101574446,0.5388990751657246,0.005226800407830234,0.0703827987731787,0.06989180463752204
14300,0.3176151209144601,0.535395131039751,0.0058333638459492744,0.06962528200130545,0.07153110219853426
14400,0.3187721446928185,0.5350751195489808,0.005952996884584574,0.06753979635358005,0.07265994252003616
14500,0.3195247587674466,0.5363451744784007,0.005847918909195503,0.06491743567055032,0.07336471217440686
14600,0.3209164883613477,0.539274372442808,0.0057790215131532045,0.06107906025458785,0.07295105742810326
14700,0.32225311039889,0.5445242355392783,0.005857376233568617,0.055388729883773906,0.0719765479444892
14800,0.32349589921505184,0.5502832125529794,0.0056618601601205985,0.0496919727517148,0.07086705532013333
14900,0.3233180675778135,0.5569297783208195,0.00487886320737355,0.04508166587092255,0.06979162502307086
15000,0.3198400169544854,0.5641701232785179,0.0036378519185900414,0.043240623325674465,0.06911138452273209
15100,0.3171435270083625,0.5677220998983085,0.002601886784210349,0.043306719386639256,0.06922576692247955
15200,0.3182017675663291,0.5670884607152107,0.002334993367765351,0.04260323264461774,0.0697715457060772
15300,0.32209011385072034,0.5620677786050609,0.00243484012480826,0.04153439315421903,0.07187287426519126
15400,0.3270246726470875,0.5541100664042765,0.002440439231104352,0.041608682294273065,0.07481613942325872
15500,0.33217222470758434,0.5470043805321222,0.0022174210532935426,0.04127356788486989,0.07733240582213012
15600,0.3389667192354471,0.540948860137337,0.001773711252621395,0.03940244976379422,0.07890825961080046
15700,0.3481607323062485,0.5345802175032676,0.0012319350993126876,0.036013327264929625,0.08001378782624168
15800,0.35626918243587047,0.5302163320676884,0.0007857096928087318,0.03197389278049157,0.08075488302314102
15900,0.3606969531470499,0.5286054923834765,0.0005791117687450833,0.02882819307207626,0.08129024962865222
16000,0.36236792217263564,0.5283957840934653,0.0004029703625475094,0.027769836587081667,0.08106348678426985
16100,0.36335467104753777,0.52889814991285,0.00019446526160671695,0.027359892795861606,0.08019282098214395
16200,0.36380668260050614,0.5296068777078915,3.8796059141617045e-05,0.026864255360262455,0.07968338827219819
16300,0.366556655609297,0.5284213888682489,0.0,0.026088039545889005,0.07893391597656504
16400,0.3720276074542363,0.5247693218827942,0.0,0.025515135181930677,0.07768793548103886
16500,0.37618308498161285,0.5211495086157804,0.0,0.025881850923533185,0.07678555547907351
16600,0.37714704343413213,0.5201066220565699,0.0,0.027196143821417603,0.07555019068788041
16700,0.37637582875261655,0.5215759674689905,4.0020070946516084e-05,0.028051166652560005,0.0739570170548864
16800,0.37890304914150197,0.5203155446580825,0.0002062759825357564,0.028127383309967082,0.07244774690791263
16900,0.38468785109845105,0.5155542680870906,0.0004427463721385684,0.028397641682403333,0.07091749275991648
17000,0.3895335153025564,0.5120132541397084,0.0006590413294297125,0.0295010110072198,0.06829317822108569
17100,0.39158042105956387,0.5119047044413646,0.0008032349030974177,0.03174604804836133,0.06396559154761294
17200,0.3928379466936365,0.5134451547193436,0.0008751270784184327,0.03387062493548078,0.05897114657312069
17300,0.3948054823238131,0.5145640218027672,0.0009050584448357993,0.034546972347833,0.05517846508075085
17400,0.39636603660144315,0.5158665524142477,0.0009212862596751688,0.033852558714347766,0.05299356601028605
17500,0.3989250317574632,0.5167601363644474,0.0008882116670093941,0.032338016858000196,0.05108860335307978
17600,0.40164150862789527,0.5173878448850036,0.0007609098644723177,0.030293176157717646,0.04991656046491121
17700,0.4015238796289512,0.5200249383078972,0.0005284067318758057,0.028229343639825037,0.049693431691450726
17800,0.3989759022806386,0.5251164714621879,0.00025158624604707685,0.025868886227533514,0.049787153783593004
17900,0.3949448380121814,0.5317055740011524,8.99464751725205e-05,0.02269809459322635,0.0505615469182674
18000,0.391373791075308,0.5364486742314893,0.00020446550095997153,0.019512173912987606,0.052460895279255036
18100,0.3887212184839835,0.5378236799979783,0.0004294039243605204,0.01850526451706035,0.05452043307661729
18200,0.3844913570949822,0.5390436634763547,0.000624642316880647,0.02062885583176117,0.05521148128002126
18300,0.38003991568146145,0.5404683560992656,0.000744720162813443,0.024848673184868632,0.05389833487159109
18400,0.37718272207359155,0.5412695567137052,0.0007968840015875418,0.029255999318567528,0.051494837892548155
18500,0.3762407235707534,0.5411942663793275,0.0008151108322516739,0.03236931645109262,0.04938058276657497
18600,0.37592874724939107,0.5408636769468039,0.0008270082715704925,0.034636259481233056,0.04774430805100166
18700,0.3767814023930959,0.5397968922380922,0.000799064308565832,0.03645235569656836,0.046170285363677864
18800,0.37842158205155957,0.5385538908863567,0.0006873380233336424,0.0378384576433444,0.04449873139540557
18900,0.3806464395817895,0.5390614834682127,0.0004822306147531643,0.03774993825748638,0.042059908077758085
19000,0.38291870673236483,0.5418260750510387,0.00023378430986299402,0.03492906249562758,0.040092371411105915
19100,0.3840687830693732,0.5460524712908715,4.700992678143304e-05,0.0297504162063491,0.040081319506624545
19200,0.3857245600991563,0.548372323739981,0.0,0.0245439174356157,0.04135919872524706
19300,0.3885471072850314,0.5473612185579366,0.0,0.021136967280842026,0.042954706876190143
19400,0.3914330987703636,0.5442046095975995,0.00018073802675421243,0.019458968688888592,0.04472258491639386
19500,0.3941195450456266,0.5399789286531543,0.0009256342497360829,0.01822713620592649,0.04674875584555647
19600,0.3952298362740241,0.5355778503185612,0.001991142796613378,0.017632819856420855,0.04956835075438046
19700,0.3957162430627208,0.5297502069166892,0.0030015000786274117,0.018258525221364768,0.05327352472059794
19800,0.39681186790990974,0.5219190321888618,0.0037045000821782424,0.02040654611380512,0.057158053705244925
19900,0.3999965142600886,0.5127562018759872,0.004043503137673915,0.022867862647328537,0.060335918078921864
20000,0.40647326801846917,0.5021389053555667,0.004133663650428875,0.024431014130605864,0.0628231488449294
20100,0.41333331254526945,0.49422470194343904,0.0041352557288115216,0.02464460159802141,0.06366212818445864
20200,0.41643603541971314,0.4922689608227635,0.003941334343255028,0.0244159665328348,0.06293770288143345
20300,0.4134555760356728,0.49751078949178745,0.0033596105173889644,0.02499023382048658,0.060683790134664274
20400,0.40577701352705137,0.5087288005426087,0.002325224829270515,0.025979383280876477,0.05718957782019292
20500,0.39823553730904715,0.5206024589332234,0.0011084322888752825,0.02598257697228092,0.054070994496573196
20600,0.39193293854884703,0.5312749004392717,0.00027289921549175276,0.02430939953435158,0.05220986226203789
20700,0.38499489127162484,0.5413009835282806,0.00027383968495851775,0.022325309172474325,0.05110497634266175
20800,0.3757970949941405,0.5493049982835402,0.0005824575096139049,0.022710704163471464,0.051604745049233944
20900,0.36758599429085054,0.5530781942744977,0.0008662326413233924,0.02513560637162367,0.05333397242170474
21000,0.3643291298325733,0.551238517436935,0.0010544276232097606,0.027711193602926884,0.05566673150435518
21100,0.37062647826861267,0.5408963555547907,0.0011385695115974568,0.02882887265463272,0.05850972401036646
21200,0.3858239096149823,0.5236787814603923,0.001152773845897833,0.028090403741842605,0.06125413133688507
21300,0.40265457789642184,0.5071506141516158,0.001195275570388324,0.026397024573131908,0.06260250780844209
21400,0.4153495135373017,0.49536335279822347,0.0013578741002556536,0.02510688460187029,0.06282237496234881
21500,0.4251468780068379,0.4870005832921469,0.0015115661700114903,0.024000618979375263,0.0623403535516284
21600,0.43390616097420237,0.480978642855767,0.0015291076393579113,0.02212015892333405,0.06146592960733855
21700,0.4445889244139995,0.4745590668310579,0.0014066719454742522,0.019373673751114165,0.06007166305835434
21800,0.4512288461224616,0.47286510805509546,0.0012612459683590304,0.01634092378555279,0.05830387606853107
21900,0.4497915235492157,0.47778296394359854,0.0012367415283111858,0.01421142546543352,0.05697734551344109
22000,0.4428928150537997,0.48422863192440807,0.0012613685253861856,0.014234620909609074,0.05738256358679692
22100,0.43548177341535194,0.48767033013683564,0.0012258185713752247,0.015931742721051113,0.05969033515538613
22200,0.4307084310421527,0.4860434909010262,0.0010632064068512963,0.018810041929105563,0.06337482972086439
22300,0.4311304673956066,0.47886845513110377,0.0007545872367089644,0.02165680876090326,0.0675896814756774
22400,0.43143723488199875,0.4731155941057133,0.0003666723598688555,0.023844911992709376,0.07123558665970958
22500,0.42667339507941054,0.47499610076281645,7.235004520354589e-05,0.025498599953722806,0.07275955415884683
22600,0.42006701769195215,0.48122063398562476,0.0,0.026524902162142976,0.07218744616028014
22700,0.4170652212900423,0.48612356173521154,0.0,0.02675780985064288,0.07005340712410327
22800,0.41631190223470727,0.49131500861558425,0.0,0.0264165914011345,0.06595649774857376
22900,0.4196312653365834,0.4942345230307573,0.0,0.02645654866592942,0.059677662966729765
23000,0.4269315734197549,0.4929282463867174,0.0,0.026606209932010245,0.05353397026151752
23100,0.43383628554788795,0.49086037164519575,0.00034057914015115856,0.026053517914432844,0.048909245752332395
23200,0.43738161982133433,0.4896548024757866,0.00177569007697728,0.02519993339467734,0.04598795423122455
23300,0.43826817552282366,0.48767545520122835,0.0038568206648523554,0.024782205471215922,0.04541734313987968
23400,0.4386989732214241,0.48450282885893964,0.005830390595776801,0.024183695823069153,0.04678411150079038
23500,0.4434555239289748,0.47727747345310667,0.00722341045219911,0.02285045972267676,0.04919313244304275
23600,0.4546274910793593,0.4630853431558083,0.0079269021078092,0.021593724314878146,0.052766539342144966
23700,0.46853308171043684,0.4456631598503399,0.008103957546870277,0.020456066010235096,0.05724373488211803
23800,0.4812097387692589,0.4303478102242862,0.00803188504292753,0.017854685254415355,0.06255588070911194
23900,0.49051261115736305,0.42123192837735096,0.007587638855668307,0.013813133351844795,0.06685468825777281
24000,0.49497342728663224,0.42013381265805283,0.006452585729837716,0.009698854347119392,0.06874131997835782
24100,0.5002471830806452,0.42012868719969954,0.004516491424262051,0.007237901261244014,0.06786973703414932
24200,0.5100545312766532,0.415628728374361,0.0022036041496353432,0.00646171205451603,0.06565142414483466
24300,0.5180899964143195,0.41234963802844415,0.0004486732362479084,0.006414064956871115,0.06269762736411719
24400,0.5182012434911303,0.41561563241566274,0.0,0.006608954772380723,0.059574169320826195
24500,0.5081984229569843,0.4279014529843951,0.0,0.006225082876599287,0.057675041182021276
24600,0.4918130647769237,0.44499402604379423,0.0,0.005235944943476008,0.05795696423580603
24700,0.4739522511975075,0.4627987799706676,0.0,0.004477832796021153,0.058771136035803674
24800,0.45889798073655097,0.4776032138409467,0.0,0.00490807862561613,0.05859072679688615
24900,0.450013985643685,0.4856153057986518,0.0,0.005807632485893661,0.05856307607176939
25000,0.4457068008452748,0.4871450229952049,0.0,0.006729390657498573,0.06041878550202158
25100,0.439517815454481,0.4881735026595833,0.0,0.008480966565327255,0.06382771532060842
25200,0.4288910257385729,0.49184973560377127,0.00013966871809955616,0.01114932054273588,0.06797024939682036
25300,0.41764279208910243,0.49661667029794204,0.000718799503753866,0.014042561883958044,0.07097917622524363
25400,0.4110474371937893,0.4986097250115269,0.0015480049283086443,0.016738473740954114,0.07205635912542105
25500,0.41216368958440397,0.496796091376359,0.0023246368672811225,0.018418035998609902,0.070297546173346
25600,0.418678975424469,0.4931744694686731,0.003108054990268172,0.018756452671495682,0.06628204744509397
25700,0.42318925797567375,0.4917325826428664,0.004457542685922757,0.018150361155221232,0.06247025554031579
25800,0.42562858970078454,0.49090606977192375,0.0061783637392505,0.01676113443462039,0.06052584235342086
25900,0.42615553917991966,0.4915919925181519,0.00826401145517502,0.014283306272191416,0.059705150574562105
26000,0.4298034438029433,0.4895517983658868,0.011280753271992518,0.01071676973810833,0.05864723482106899
26100,0.4415327300674706,0.48047672418195236,0.014219121166259405,0.006445604674933848,0.057325819909383506
26200,0.4534151092958731,0.4708800923305108,0.015947472540288984,0.003167215884447384,0.05659010994887971
26300,0.45892276618423394,0.46481543286044424,0.016482658067941493,0.0023077867900476896,0.05747135609733263
26400,0.4598195815341125,0.46170240395889245,0.01621040111942637,0.003044669940855377,0.059222943446713465
26500,0.45927793490349544,0.458162012763856,0.01558691201032307,0.0042666208513772305,0.06270651947094828
26600,0.4633637614444388,0.4489690072570894,0.014324209721139096,0.005412670875759994,0.06793035070157273
26700,0.47359191801612344,0.43648953120085215,0.011868635236100926,0.006293788888470931,0.07175612665845253
26800,0.48553283881056614,0.42467801748054546,0.00877738986438624,0.0071850919213314705,0.07382666192317087
26900,0.497987509168205,0.41369283088715886,0.005834024937579769,0.007952151549516707,0.07453348345753973
27000,0.5107381907656183,0.40333529469480767,0.0028736178746316815,0.008364971337368821,0.0746879253275734
27100,0.5189429965754917,0.3966824686257618,0.0005986319449311135,0.008231789302046955,0.07554411355176834
27200,0.5249847748796533,0.39092860712826083,0.0,0.007631607429830457,0.07645501056225538
27300,0.5316939304150297,0.3858634549991708,0.0,0.0074057555138204514,0.07503685907197928
27400,0.5356434309047083,0.3849535361737645,0.0,0.009025088242075655,0.0703779446794516
27500,0.5324152432332504,0.3913641674505876,0.0,0.01323475899051027,0.06298583032565179
